"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","umpire1","umpire2","reserve_umpire","winner","winner_wickets","player_of_match","winner_runs","tv_umpire","match_referee","method","outcome"
1033707,6,"Netherlands","Scotland","female","2016",2016-07-15,"ICC Women's World Cup Qualifying Series Europe Region","3","Garon Park","Southend-on-Sea","Netherlands","bat","IAF Bevers","AM Smith","M Hawthorne","Scotland",8,NA,NA,NA,NA,NA,NA
1073402,6,"Ireland","Zimbabwe","female","2016/17",2017-02-07,"ICC Women's World Cup Qualifier","2","Mercantile Cricket Association Ground","Colombo","Zimbabwe","field","AK Chaudhary","JM Williams","RD Kottahachchi","Ireland",NA,"KJ Garth",119,NA,NA,NA,NA
1073404,6,"Bangladesh","Papua New Guinea","female","2016/17",2017-02-07,"ICC Women's World Cup Qualifier","4","Colombo Cricket Club Ground",NA,"Bangladesh","bat","IN Ramage","S Redfern","WN de Silva","Bangladesh",NA,NA,118,NA,NA,NA,NA
1073406,6,"India","Thailand","female","2016/17",2017-02-08,"ICC Women's World Cup Qualifier","6","Colombo Cricket Club Ground",NA,"Thailand","bat","M Hawthorne","JM Williams","PN Udawatta","India",9,"M Joshi",NA,NA,NA,NA,NA
1073407,6,"Scotland","South Africa","female","2016/17",2017-02-08,"ICC Women's World Cup Qualifier","7","Mercantile Cricket Association Ground","Colombo","Scotland","bat","S Redfern","LS Reifer","JWHD Boteju","South Africa",6,"A Khaka",NA,NA,NA,NA,NA
1073409,6,"Papua New Guinea","Pakistan","female","2016/17",2017-02-10,"ICC Women's World Cup Qualifier","9","Nondescripts Cricket Club Ground","Colombo","Pakistan","bat","LS Reifer","JM Williams","ID Gunawardene","Pakistan",NA,"Ayesha Zafar",236,NA,NA,NA,NA
1073410,6,"Bangladesh","Scotland","female","2016/17",2017-02-10,"ICC Women's World Cup Qualifier","10","Colombo Cricket Club Ground",NA,"Scotland","bat","AK Chaudhary","K Cross","RMPJ Rambukwella","Bangladesh",7,"Rumana Ahmed",NA,NA,NA,NA,NA
1073412,6,"Thailand","Zimbabwe","female","2016/17",2017-02-10,"ICC Women's World Cup Qualifier","12","Mercantile Cricket Association Ground","Colombo","Thailand","field","M Hawthorne","CA Polosak","RD Kottahachchi","Zimbabwe",NA,"P Marange",36,NA,NA,NA,NA
1073414,6,"Papua New Guinea","Scotland","female","2016/17",2017-02-11,"ICC Women's World Cup Qualifier","14","Mercantile Cricket Association Ground","Colombo","Papua New Guinea","field","CA Polosak","RR Wimalasiri","RA Kottahachchi","Scotland",NA,"K Anderson",7,NA,NA,NA,NA
1073415,6,"Sri Lanka","Zimbabwe","female","2016/17",2017-02-11,"ICC Women's World Cup Qualifier","15","Nondescripts Cricket Club Ground","Colombo","Zimbabwe","bat","M Hawthorne","S Redfern","IN Ramage","Sri Lanka",8,"I Ranaweera",NA,NA,NA,NA,NA
1073416,6,"Ireland","Thailand","female","2016/17",2017-02-11,"ICC Women's World Cup Qualifier","16","Colombo Cricket Club Ground",NA,"Ireland","bat","K Cross","LS Reifer","JWHD Boteju","Ireland",NA,"KJ Garth",46,NA,NA,NA,NA
1073417,6,"India","Zimbabwe","female","2016/17",2017-02-13,"ICC Women's World Cup Qualifier","17","P Sara Oval","Colombo","Zimbabwe","bat","K Cross","IN Ramage","ID Gunawardene","India",9,"Poonam Yadav",NA,NA,NA,NA,NA
1073418,6,"Sri Lanka","Thailand","female","2016/17",2017-02-13,"ICC Women's World Cup Qualifier","18","Mercantile Cricket Association Ground","Colombo","Thailand","bat","M Hawthorne","S Redfern","LS Reifer","Sri Lanka",7,"PRCS Kumarihami",NA,NA,NA,NA,NA
1073419,6,"Papua New Guinea","South Africa","female","2016/17",2017-02-13,"ICC Women's World Cup Qualifier","19","Nondescripts Cricket Club Ground","Colombo","Papua New Guinea","bat","AK Chaudhary","CA Polosak","WN de Silva","South Africa",10,"S Ismail",NA,NA,NA,NA,NA
1073420,6,"Pakistan","Scotland","female","2016/17",2017-02-13,"ICC Women's World Cup Qualifier","20","Colombo Cricket Club Ground",NA,"Scotland","bat","JM Williams","RR Wimalasiri","RMPJ Rambukwella","Pakistan",6,"Sana Mir",NA,NA,NA,NA,NA
1089520,6,"South Africa","Zimbabwe","female","2017",2017-05-07,"Women's Quadrangular Series (in South Africa)","1","Senwes Park","Potchefstroom","Zimbabwe","bat","BP Jele","TC Mokorosi",NA,"South Africa",8,"S Ismail",NA,NA,"D Govindjee",NA,NA
1089523,6,"Ireland","Zimbabwe","female","2017",2017-05-09,"Women's Quadrangular Series (in South Africa)","4","Senwes Park","Potchefstroom","Zimbabwe","field","BP Jele","TC Mokorosi",NA,"Zimbabwe",6,"M Musonda",NA,NA,"D Govindjee",NA,NA
1089525,6,"India","Zimbabwe","female","2017",2017-05-11,"Women's Quadrangular Series (in South Africa)","6","North-West University No1 Ground","Potchefstroom","Zimbabwe","bat","A Jacobs","BP Jele",NA,"India",9,"RS Gayakwad",NA,NA,"D Govindjee",NA,NA
1089526,6,"South Africa","Zimbabwe","female","2017",2017-05-15,"Women's Quadrangular Series (in South Africa)","7","North-West University No1 Ground","Potchefstroom","Zimbabwe","bat","A Jacobs","BP Jele",NA,"South Africa",7,"S Ismail",NA,NA,"D Govindjee",NA,NA
1089529,6,"Ireland","Zimbabwe","female","2017",2017-05-17,"Women's Quadrangular Series (in South Africa)","10","North-West University No1 Ground","Potchefstroom","Ireland","bat","AT Holdstock","A Jacobs",NA,"Zimbabwe",5,"T Granger",NA,NA,"D Govindjee",NA,NA
1089531,6,"India","Zimbabwe","female","2017",2017-05-19,"Women's Quadrangular Series (in South Africa)","12","Senwes Park","Potchefstroom","Zimbabwe","bat","BP Jele","TC Mokorosi",NA,"India",10,"DB Sharma",NA,NA,"D Govindjee",NA,NA
1229326,6,"Sunrisers","Southern Vipers","female","2020",2020-08-29,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Chelmsford","Chelmsford","Southern Vipers","field","AY Harris","Chris Watts",NA,"Southern Vipers",7,NA,NA,NA,"SJ Davis",NA,NA
1229329,6,"South East Stars","Western Storm","female","2020",2020-08-29,"Rachael Heyhoe Flint Trophy",NA,"Kent County Cricket Ground, Beckenham","Beckenham","Western Storm","field","NJ Llong","SM Bartlett",NA,"Western Storm",6,NA,NA,NA,"PM Such",NA,NA
1229330,6,"Southern Vipers","Western Storm","female","2020",2020-08-31,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Bristol","Bristol","Western Storm","field","JW Lloyds","Y Dolphin-Cooper",NA,"Southern Vipers",NA,NA,22,NA,"DA Cosker",NA,NA
1229331,6,"South East Stars","Sunrisers","female","2020",2020-08-31,"Rachael Heyhoe Flint Trophy",NA,"Kent County Cricket Ground, Beckenham","Beckenham","South East Stars","bat","NJ Llong","S McLelland",NA,"South East Stars",NA,NA,77,NA,"SJ Davis",NA,NA
1229332,6,"Thunder","Central Sparks","female","2020",2020-08-31,"Rachael Heyhoe Flint Trophy",NA,"Edgbaston, Birmingham","Birmingham","Thunder","bat","M Underdown","S Redfern",NA,"Central Sparks",4,NA,NA,NA,"WR Smith",NA,NA
1229333,6,"Northern Diamonds","Lightning","female","2020",2020-08-31,"Rachael Heyhoe Flint Trophy",NA,"Riverside Ground, Chester-le-Street","Chester-le-Street","Northern Diamonds","bat","L Nenova","N Pratt",NA,"Northern Diamonds",NA,NA,9,NA,"JJ Whitaker",NA,NA
1229334,6,"Thunder","Central Sparks","female","2020",2020-09-05,"Rachael Heyhoe Flint Trophy",NA,"County Ground, New Road, Worcester","Worcester","Thunder","bat","JW Lloyds","M Underdown",NA,"Central Sparks",8,NA,NA,NA,"TJ Boon",NA,NA
1229335,6,"Western Storm","Sunrisers","female","2020",2020-09-05,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Chelmsford","Chelmsford","Sunrisers","field","AY Harris","NJ Llong",NA,"Western Storm",NA,"FMK Morris",86,NA,"PM Such",NA,NA
1229336,6,"Lightning","Northern Diamonds","female","2020",2020-09-05,"Rachael Heyhoe Flint Trophy",NA,"Grace Road, Leicester","Leicester","Northern Diamonds","field","J Ibbotson","S Redfern",NA,"Northern Diamonds",2,NA,NA,NA,"Phil Whitticase",NA,NA
1229337,6,"Southern Vipers","South East Stars","female","2020",2020-09-05,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Hove","Brighton","Southern Vipers","bat","Mark Newell","SM Bartlett",NA,"Southern Vipers",NA,NA,111,NA,NA,NA,NA
1229338,6,"Northern Diamonds","Thunder","female","2020",2020-09-10,"Rachael Heyhoe Flint Trophy",NA,"Aigburth, Liverpool","Liverpool","Thunder","field","J Naeem","SJ O'Shaughnessy",NA,"Northern Diamonds",NA,NA,73,NA,"Phil Whitticase",NA,NA
1229339,6,"South East Stars","Western Storm","female","2020",2020-09-11,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Bristol","Bristol","South East Stars","bat","F Richards","Mark Newell",NA,"Western Storm",7,NA,NA,NA,"DA Cosker",NA,NA
1229340,6,"Southern Vipers","Sunrisers","female","2020",2020-09-11,"Rachael Heyhoe Flint Trophy",NA,"The Rose Bowl, Southampton","Southampton","Southern Vipers","bat","BV Taylor","S McLelland",NA,"Southern Vipers",NA,NA,49,NA,NA,NA,NA
1229341,6,"Lightning","Central Sparks","female","2020",2020-09-11,"Rachael Heyhoe Flint Trophy",NA,"County Ground, New Road, Worcester","Worcester","Central Sparks","field","Hassan Adnan","Y Dolphin-Cooper",NA,"Lightning",NA,NA,6,NA,"S Cummings",NA,NA
1229342,6,"Southern Vipers","Western Storm","female","2020",2020-09-13,"Rachael Heyhoe Flint Trophy",NA,"The Rose Bowl, Southampton","Southampton","Southern Vipers","bat","Mark Newell","SM Bartlett",NA,"Southern Vipers",NA,NA,32,NA,"GR Cowdrey",NA,NA
1229343,6,"Sunrisers","South East Stars","female","2020",2020-09-13,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Chelmsford","Chelmsford","Sunrisers","bat","Chris Watts","F Richards",NA,"South East Stars",6,"A Capsey",NA,NA,"AJ Swann",NA,NA
1229344,6,"Thunder","Lightning","female","2020",2020-09-13,"Rachael Heyhoe Flint Trophy",NA,"Aigburth, Liverpool","Liverpool","Thunder","bat","J Naeem","Tom Lungley",NA,"Thunder",NA,NA,72,NA,"WR Smith",NA,NA
1229345,6,"Northern Diamonds","Central Sparks","female","2020",2020-09-13,"Rachael Heyhoe Flint Trophy",NA,"Headingley, Leeds","Leeds","Northern Diamonds","bat","L Nenova","PJ Hartley",NA,"Central Sparks",6,NA,NA,NA,"S Cummings",NA,NA
1229346,6,"South East Stars","Southern Vipers","female","2020",2020-09-19,"Rachael Heyhoe Flint Trophy",NA,"Kennington Oval, London","London","South East Stars","bat","AY Harris","BJ Debenham",NA,"Southern Vipers",4,NA,NA,NA,"AJ Swann",NA,NA
1229347,6,"Thunder","Northern Diamonds","female","2020",2020-09-19,"Rachael Heyhoe Flint Trophy",NA,"Headingley, Leeds","Leeds","Thunder","bat","IN Ramage","J Ibbotson",NA,"Northern Diamonds",6,NA,NA,NA,"JJ Whitaker",NA,NA
1229348,6,"Lightning","Central Sparks","female","2020",2020-09-19,"Rachael Heyhoe Flint Trophy",NA,"Grace Road, Leicester","Leicester","Central Sparks","field","M Underdown","PR Pollard",NA,"Lightning",NA,NA,55,NA,"Phil Whitticase",NA,NA
1229349,6,"Western Storm","Sunrisers","female","2020",2020-09-19,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Bristol","Bristol","Sunrisers","field","Mark Newell","Y Dolphin-Cooper",NA,"Western Storm",NA,NA,47,NA,"RM Ellison",NA,NA
1229350,6,"Southern Vipers","Northern Diamonds","female","2020",2020-09-27,"Rachael Heyhoe Flint Trophy",NA,"Edgbaston, Birmingham","Birmingham","Northern Diamonds","field","N Pratt","Rob White","SM Bartlett","Southern Vipers",NA,"CM Taylor",38,"James Middlebrook","SJ Davis",NA,NA
1249285,6,"Pakistan","Zimbabwe","female","2020/21",2021-02-09,"Pakistan Women tour of Zimbabwe","1","Harare Sports Club","Harare","Zimbabwe","field","I Chabi","L Rusere","F Mutizwa","Pakistan",NA,"Javeria Khan",178,"C Phiri","O Chirombe",NA,NA
1252264,6,"Northern Diamonds","Central Sparks","female","2021",2021-05-29,"Rachael Heyhoe Flint Trophy",NA,"Headingley, Leeds","Leeds","Central Sparks","field","Hassan Adnan","J Naeem",NA,"Central Sparks",2,NA,NA,NA,"S Laister",NA,NA
1252265,6,"Thunder","Western Storm","female","2021",2021-05-29,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Bristol","Bristol","Western Storm","field","SM Bartlett","Y Dolphin-Cooper",NA,"Western Storm",1,NA,NA,NA,"DW Headley",NA,NA
1252266,6,"South East Stars","Sunrisers","female","2021",2021-05-29,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Chelmsford","Chelmsford","Sunrisers","field","J Ibbotson","S Redfern",NA,"South East Stars",NA,NA,135,NA,"Phil Whitticase",NA,NA
1252267,6,"Lightning","Southern Vipers","female","2021",2021-05-29,"Rachael Heyhoe Flint Trophy",NA,"The Rose Bowl, Southampton","Southampton","Lightning","bat","S McLelland","Tom Lungley",NA,"Southern Vipers",4,NA,NA,NA,"SG Hinks",NA,NA
1252268,6,"Northern Diamonds","Lightning","female","2021",2021-05-31,"Rachael Heyhoe Flint Trophy",NA,"Kibworth Cricket Club Ground","Kibworth","Lightning","field","J Ibbotson","Mark Newell",NA,"Northern Diamonds",NA,NA,6,NA,"SJ Davis",NA,NA
1252269,6,"Central Sparks","Western Storm","female","2021",2021-05-31,"Rachael Heyhoe Flint Trophy",NA,"Edgbaston, Birmingham","Birmingham","Western Storm","field","S Redfern","Y Dolphin-Cooper",NA,"Central Sparks",NA,NA,41,NA,"DW Headley",NA,NA
1252270,6,"South East Stars","Southern Vipers","female","2021",2021-05-31,"Rachael Heyhoe Flint Trophy",NA,"Kent County Cricket Ground, Beckenham","Beckenham","Southern Vipers","field","Rob White","SM Bartlett",NA,"Southern Vipers",7,NA,NA,NA,"SG Hinks",NA,NA
1252271,6,"Thunder","Sunrisers","female","2021",2021-05-31,"Rachael Heyhoe Flint Trophy",NA,"Boughton Hall Cricket Club Ground, Chester","Chester","Thunder","bat","J Naeem","N Pratt",NA,"Thunder",NA,NA,36,NA,"S Cummings",NA,NA
1252272,6,"Western Storm","South East Stars","female","2021",2021-06-05,"Rachael Heyhoe Flint Trophy",NA,"Kennington Oval, London","London","South East Stars","field","S McLelland","Tom Lungley",NA,"South East Stars",6,NA,NA,NA,"Alastair Smith",NA,NA
1252273,6,"Sunrisers","Northern Diamonds","female","2021",2021-06-05,"Rachael Heyhoe Flint Trophy",NA,"FP Fenner's Ground, Cambridge","Cambridge","Northern Diamonds","field","J Ibbotson","SM Bartlett",NA,"Northern Diamonds",9,NA,NA,NA,"WR Smith",NA,NA
1252275,6,"Central Sparks","Southern Vipers","female","2021",2021-06-05,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Hove","Brighton","Central Sparks","bat","N Pratt","Y Dolphin-Cooper",NA,"Central Sparks",NA,NA,120,NA,"DW Headley",NA,NA
1252274,6,"Lightning","Thunder","female","2021",2021-06-06,"Rachael Heyhoe Flint Trophy",NA,"Boughton Hall Cricket Club Ground, Chester","Chester","Lightning","bat","J Naeem","S Redfern",NA,"Lightning",NA,NA,134,NA,"WR Smith",NA,NA
1252276,6,"South East Stars","Northern Diamonds","female","2021",2021-06-12,"Rachael Heyhoe Flint Trophy",NA,"Headingley, Leeds","Leeds","South East Stars","bat","J Naeem","Tom Lungley",NA,"Northern Diamonds",3,NA,NA,NA,"JJ Whitaker",NA,NA
1252277,6,"Sunrisers","Lightning","female","2021",2021-06-12,"Rachael Heyhoe Flint Trophy",NA,"Haslegrave Ground, Loughborough","Loughborough","Sunrisers","bat","Hassan Adnan","J Ibbotson",NA,"Lightning",5,NA,NA,NA,"TJ Boon",NA,NA
1252278,6,"Central Sparks","Thunder","female","2021",2021-06-12,"Rachael Heyhoe Flint Trophy",NA,"County Ground, New Road, Worcester","Worcester","Central Sparks","bat","Rob White","Y Dolphin-Cooper",NA,"Thunder",2,NA,NA,NA,"SJ Davis",NA,NA
1252279,6,"Western Storm","Southern Vipers","female","2021",2021-06-12,"Rachael Heyhoe Flint Trophy",NA,"The Cooper Associates County Ground, Taunton","Taunton","Western Storm","bat","Mark Newell","S McLelland",NA,"Southern Vipers",8,"GL Adams",NA,NA,"S Cummings",NA,NA
1252280,6,"Western Storm","Northern Diamonds","female","2021",2021-09-10,"Rachael Heyhoe Flint Trophy",NA,"Riverside Ground, Chester-le-Street","Chester-le-Street","Northern Diamonds","field","James Middlebrook","L Nenova",NA,"Northern Diamonds",7,NA,NA,NA,NA,NA,NA
1252281,6,"South East Stars","Lightning","female","2021",2021-09-10,"Rachael Heyhoe Flint Trophy",NA,"Kent County Cricket Ground, Beckenham","Beckenham","South East Stars","bat","NA Mallender","S McLelland",NA,"South East Stars",NA,NA,28,NA,"DW Headley",NA,NA
1252282,6,"Sunrisers","Central Sparks","female","2021",2021-09-10,"Rachael Heyhoe Flint Trophy",NA,"Merchant Taylors' School Ground, Northwood","Northwood","Central Sparks","field","IN Ramage","J Naeem",NA,"Central Sparks",6,NA,NA,NA,"AJ Swann","D/L",NA
1252283,6,"Thunder","Southern Vipers","female","2021",2021-09-10,"Rachael Heyhoe Flint Trophy",NA,"Rookwood, Sale","Sale","Southern Vipers","field","J Ibbotson","M Burns",NA,"Southern Vipers",3,NA,NA,NA,"Phil Whitticase",NA,NA
1252284,6,"Northern Diamonds","Thunder","female","2021",2021-09-12,"Rachael Heyhoe Flint Trophy",NA,"Riverside Ground, Chester-le-Street","Chester-le-Street","Thunder","field","Hassan Adnan","J Ibbotson",NA,"Northern Diamonds",NA,NA,105,NA,"DE Malcolm",NA,NA
1252285,6,"Central Sparks","South East Stars","female","2021",2021-09-12,"Rachael Heyhoe Flint Trophy",NA,"County Ground, New Road, Worcester","Worcester","Central Sparks","bat","James Middlebrook","L Nenova",NA,"Central Sparks",NA,NA,115,NA,"AW Smith",NA,NA
1252286,6,"Western Storm","Lightning","female","2021",2021-09-12,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Bristol","Bristol","Lightning","field","AY Harris","IN Ramage",NA,"Western Storm",NA,NA,62,NA,"DA Cosker",NA,NA
1252287,6,"Southern Vipers","Sunrisers","female","2021",2021-09-12,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Chelmsford","Chelmsford","Sunrisers","field","SM Bartlett","S McLelland",NA,"Southern Vipers",NA,"GA Elwiss",1,NA,"DW Headley",NA,NA
1252288,6,"Lightning","Central Sparks","female","2021",2021-09-18,"Rachael Heyhoe Flint Trophy",NA,"Haslegrave Ground, Loughborough","Loughborough","Central Sparks","field","J Naeem","N Pratt",NA,"Lightning",NA,NA,24,NA,"DW Headley",NA,NA
1252289,6,"Thunder","South East Stars","female","2021",2021-09-18,"Rachael Heyhoe Flint Trophy",NA,"Kent County Cricket Ground, Beckenham","Beckenham","Thunder","bat","Mark Newell","SM Bartlett",NA,"Thunder",NA,NA,55,NA,"DE Malcolm",NA,NA
1252290,6,"Western Storm","Sunrisers","female","2021",2021-09-18,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Bristol","Bristol","Western Storm","bat","Tom Lungley","Y Dolphin-Cooper",NA,"Western Storm",NA,NA,36,NA,"SG Hinks",NA,NA
1252291,6,"Northern Diamonds","Southern Vipers","female","2021",2021-09-18,"Rachael Heyhoe Flint Trophy",NA,"The Rose Bowl, Southampton","Southampton","Northern Diamonds","bat","IN Ramage","S McLelland",NA,"Southern Vipers",5,NA,NA,NA,"AJ Swann",NA,NA
1252292,6,"Central Sparks","Northern Diamonds","female","2021",2021-09-22,"Rachael Heyhoe Flint Trophy",NA,"North Marine Road Ground, Scarborough","Scarborough","Central Sparks","bat","Rob White","SM Bartlett",NA,"Northern Diamonds",6,NA,NA,NA,"AW Smith",NA,NA
