"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","method","winner_runs","outcome","eliminator"
959175,6,"Islamabad United","Quetta Gladiators","male","2015/16",2016-02-04,"Pakistan Super League","1","Dubai International Cricket Stadium",NA,"Quetta Gladiators","field","Mohammad Nawaz (3)","JS Wilson","Shozab Raza","Khalid Mahmood","Rashid Riaz","Mohammed Anees","Quetta Gladiators",8,NA,NA,NA,NA
959177,6,"Lahore Qalandars","Karachi Kings","male","2015/16",2016-02-05,"Pakistan Super League","2","Dubai International Cricket Stadium",NA,"Karachi Kings","field","Shakib Al Hasan","JS Wilson","Rashid Riaz","Khalid Mahmood","Shozab Raza","Mohammed Anees","Karachi Kings",7,NA,NA,NA,NA
959179,6,"Peshawar Zalmi","Islamabad United","male","2015/16",2016-02-05,"Pakistan Super League","3","Dubai International Cricket Stadium",NA,"Peshawar Zalmi","bat","Mohammad Asghar","Shozab Raza","Rashid Riaz","Khalid Mahmood","JS Wilson","Mohammed Anees","Peshawar Zalmi",NA,NA,24,NA,NA
959181,6,"Karachi Kings","Quetta Gladiators","male","2015/16",2016-02-06,"Pakistan Super League","4","Dubai International Cricket Stadium",NA,"Quetta Gladiators","field","Ahmed Shehzad","Shozab Raza","Rashid Riaz",NA,"JS Wilson","Mohammed Anees","Quetta Gladiators",8,NA,NA,NA,NA
959183,6,"Lahore Qalandars","Peshawar Zalmi","male","2015/16",2016-02-06,"Pakistan Super League","5","Dubai International Cricket Stadium",NA,"Peshawar Zalmi","field","Tamim Iqbal","JS Wilson","Rashid Riaz","Khalid Mahmood","Shozab Raza","Mohammed Anees","Peshawar Zalmi",9,NA,NA,NA,NA
959185,6,"Islamabad United","Karachi Kings","male","2015/16",2016-02-07,"Pakistan Super League","6","Dubai International Cricket Stadium",NA,"Karachi Kings","field","Saeed Ajmal","JS Wilson","Rashid Riaz","Khalid Mahmood","Shozab Raza","Mohammed Anees","Islamabad United",NA,NA,2,NA,NA
959187,6,"Peshawar Zalmi","Quetta Gladiators","male","2015/16",2016-02-07,"Pakistan Super League","7","Dubai International Cricket Stadium",NA,"Quetta Gladiators","field","Mohammad Nawaz (3)","Shozab Raza","Rashid Riaz","Khalid Mahmood","JS Wilson","Mohammed Anees","Quetta Gladiators",3,NA,NA,NA,NA
959189,6,"Lahore Qalandars","Quetta Gladiators","male","2015/16",2016-02-08,"Pakistan Super League","8","Dubai International Cricket Stadium",NA,"Quetta Gladiators","field","Umar Akmal","JS Wilson","Aleem Dar","Rashid Riaz","Shozab Raza","Mohammed Anees","Lahore Qalandars",NA,NA,63,NA,NA
959191,6,"Lahore Qalandars","Islamabad United","male","2015/16",2016-02-10,"Pakistan Super League","9","Sharjah Cricket Stadium",NA,"Islamabad United","field","Sharjeel Khan","JS Wilson","Aleem Dar","Khalid Mahmood","Shozab Raza","Mohammed Anees","Islamabad United",8,NA,NA,NA,NA
959195,6,"Islamabad United","Quetta Gladiators","male","2015/16",2016-02-11,"Pakistan Super League","11","Sharjah Cricket Stadium",NA,"Quetta Gladiators","field","GD Elliott","JS Wilson","Aleem Dar","Rashid Riaz","Shozab Raza","Mohammed Anees","Quetta Gladiators",7,NA,NA,NA,NA
959197,6,"Karachi Kings","Lahore Qalandars","male","2015/16",2016-02-12,"Pakistan Super League","12","Sharjah Cricket Stadium",NA,"Lahore Qalandars","field","RS Bopara","JS Wilson","Aleem Dar","Rashid Riaz","Shozab Raza","Mohammed Anees","Karachi Kings",NA,NA,27,NA,NA
959199,6,"Islamabad United","Peshawar Zalmi","male","2015/16",2016-02-12,"Pakistan Super League","13","Sharjah Cricket Stadium",NA,"Peshawar Zalmi","field","Tamim Iqbal","Shozab Raza","Rashid Riaz","Khalid Mahmood","Aleem Dar","Mohammed Anees","Peshawar Zalmi",7,NA,NA,NA,NA
959201,6,"Karachi Kings","Quetta Gladiators","male","2015/16",2016-02-13,"Pakistan Super League","14","Sharjah Cricket Stadium",NA,"Karachi Kings","bat","GD Elliott","Shozab Raza","Rashid Riaz","Khalid Mahmood","Aleem Dar","Mohammed Anees","Quetta Gladiators",5,NA,NA,NA,NA
959203,6,"Lahore Qalandars","Peshawar Zalmi","male","2015/16",2016-02-13,"Pakistan Super League","15","Sharjah Cricket Stadium",NA,"Peshawar Zalmi","field","CS Delport","JS Wilson","Aleem Dar","Rashid Riaz","Shozab Raza","Mohammed Anees","Lahore Qalandars",NA,NA,4,NA,NA
959205,6,"Karachi Kings","Islamabad United","male","2015/16",2016-02-14,"Pakistan Super League","16","Sharjah Cricket Stadium",NA,"Islamabad United","field","Imran Khalid","JS Wilson","Aleem Dar","Rashid Riaz","Shozab Raza","RS Mahanama","Islamabad United",5,NA,NA,NA,NA
959207,6,"Quetta Gladiators","Peshawar Zalmi","male","2015/16",2016-02-14,"Pakistan Super League","17","Sharjah Cricket Stadium",NA,"Quetta Gladiators","bat","Shahid Afridi","Ahmed Shahab","Shozab Raza","Khalid Mahmood","Aleem Dar","RS Mahanama","Peshawar Zalmi",8,NA,NA,NA,NA
959209,6,"Lahore Qalandars","Quetta Gladiators","male","2015/16",2016-02-16,"Pakistan Super League","18","Dubai International Cricket Stadium",NA,"Quetta Gladiators","field","Bismillah Khan","JS Wilson","Aleem Dar","Ahmed Shahab","Shozab Raza","RS Mahanama","Quetta Gladiators",2,NA,NA,NA,NA
959211,6,"Karachi Kings","Peshawar Zalmi","male","2015/16",2016-02-17,"Pakistan Super League","19","Dubai International Cricket Stadium",NA,"Karachi Kings","bat","BJ Hodge","Shozab Raza","Ahsan Raza","Ahmed Shahab","JS Wilson","RS Mahanama","Peshawar Zalmi",5,NA,NA,NA,NA
959213,6,"Lahore Qalandars","Islamabad United","male","2015/16",2016-02-17,"Pakistan Super League","20","Dubai International Cricket Stadium",NA,"Islamabad United","field","Mohammad Irfan","JS Wilson","Aleem Dar","Ahmed Shahab","Shozab Raza","RS Mahanama","Islamabad United",5,NA,NA,NA,NA
959215,6,"Quetta Gladiators","Peshawar Zalmi","male","2015/16",2016-02-19,"Pakistan Super League",NA,"Dubai International Cricket Stadium",NA,"Peshawar Zalmi","field","Mohammad Nawaz (3)","Shozab Raza","Aleem Dar","Ahmed Shahab","Ahsan Raza","RS Mahanama","Quetta Gladiators",NA,NA,1,NA,NA
959217,6,"Karachi Kings","Islamabad United","male","2015/16",2016-02-20,"Pakistan Super League",NA,"Dubai International Cricket Stadium",NA,"Islamabad United","field","Mohammad Sami","Aleem Dar","Ahsan Raza","Ahmed Shahab","JS Wilson","RS Mahanama","Islamabad United",9,NA,NA,NA,NA
959219,6,"Islamabad United","Peshawar Zalmi","male","2015/16",2016-02-21,"Pakistan Super League",NA,"Dubai International Cricket Stadium",NA,"Peshawar Zalmi","field","Sharjeel Khan","JS Wilson","Aleem Dar","Ahmed Shahab","Ahsan Raza","RS Mahanama","Islamabad United",NA,NA,50,NA,NA
959221,6,"Quetta Gladiators","Islamabad United","male","2015/16",2016-02-23,"Pakistan Super League",NA,"Dubai International Cricket Stadium",NA,"Islamabad United","field","DR Smith","JS Wilson","Aleem Dar","Ahmed Shahab","Ahsan Raza","RS Mahanama","Islamabad United",6,NA,NA,NA,NA
1075986,6,"Islamabad United","Peshawar Zalmi","male","2016/17",2017-02-09,"Pakistan Super League","1","Dubai International Cricket Stadium",NA,"Islamabad United","field","BJ Haddin","Ahsan Raza","Shozab Raza","Asif Yaqoob","Rashid Riaz","RS Mahanama","Islamabad United",7,"D/L",NA,NA,NA
1075987,6,"Lahore Qalandars","Quetta Gladiators","male","2016/17",2017-02-10,"Pakistan Super League","2","Dubai International Cricket Stadium",NA,"Lahore Qalandars","field","Hassan Khan","Rashid Riaz","Shozab Raza","Asif Yaqoob","Ahsan Raza","Mohammed Anees","Quetta Gladiators",NA,NA,8,NA,NA
1075988,6,"Karachi Kings","Peshawar Zalmi","male","2016/17",2017-02-10,"Pakistan Super League","3","Dubai International Cricket Stadium",NA,"Peshawar Zalmi","field","EJG Morgan","Ahmed Shahab","Ahsan Raza","Shozab Raza","Asif Yaqoob","RS Mahanama","Peshawar Zalmi",7,NA,NA,NA,NA
1075989,6,"Islamabad United","Lahore Qalandars","male","2016/17",2017-02-11,"Pakistan Super League","4","Dubai International Cricket Stadium",NA,"Lahore Qalandars","field","JJ Roy","Asif Yaqoob","Shozab Raza","Rashid Riaz","Ahsan Raza","RS Mahanama","Lahore Qalandars",6,NA,NA,NA,NA
1075990,6,"Karachi Kings","Quetta Gladiators","male","2016/17",2017-02-11,"Pakistan Super League","5","Dubai International Cricket Stadium",NA,"Quetta Gladiators","field","RR Rossouw","Aleem Dar","Rashid Riaz","Asif Yaqoob","Ahmed Shahab","Mohammed Anees","Quetta Gladiators",7,NA,NA,NA,NA
1075991,6,"Lahore Qalandars","Peshawar Zalmi","male","2016/17",2017-02-12,"Pakistan Super League","6","Dubai International Cricket Stadium",NA,"Peshawar Zalmi","field","Yasir Shah","Aleem Dar","RK Illingworth","Shozab Raza","Ahsan Raza","Mohammed Anees","Peshawar Zalmi",3,NA,NA,NA,NA
1075992,6,"Islamabad United","Quetta Gladiators","male","2016/17",2017-02-15,"Pakistan Super League","7","Sharjah Cricket Stadium",NA,"Islamabad United","field","SW Billings","Aleem Dar","RK Illingworth","Ahmed Shahab","Shozab Raza","RS Mahanama","Islamabad United",5,NA,NA,NA,NA
1075993,6,"Karachi Kings","Lahore Qalandars","male","2016/17",2017-02-16,"Pakistan Super League","8","Sharjah Cricket Stadium",NA,"Karachi Kings","field","Fakhar Zaman","Aleem Dar","RK Illingworth","Asif Yaqoob","Ahsan Raza","Mohammed Anees","Lahore Qalandars",NA,NA,7,NA,NA
1075994,6,"Peshawar Zalmi","Quetta Gladiators","male","2016/17",2017-02-17,"Pakistan Super League","9","Sharjah Cricket Stadium",NA,"Quetta Gladiators","field",NA,"Ahsan Raza","Asif Yaqoob","Ahmed Shahab","Rashid Riaz","Mohammed Anees",NA,NA,NA,NA,"no result",NA
1075995,6,"Islamabad United","Karachi Kings","male","2016/17",2017-02-17,"Pakistan Super League","10","Sharjah Cricket Stadium",NA,"Karachi Kings","field","Babar Azam","Aleem Dar","RK Illingworth","Ahsan Raza","Shozab Raza","RS Mahanama","Karachi Kings",NA,"D/L",8,NA,NA
1075996,6,"Lahore Qalandars","Quetta Gladiators","male","2016/17",2017-02-18,"Pakistan Super League","11","Sharjah Cricket Stadium",NA,"Quetta Gladiators","field","KP Pietersen","Rashid Riaz","Shozab Raza","Asif Yaqoob","Ahmed Shahab","RS Mahanama","Quetta Gladiators",5,NA,NA,NA,NA
1075997,6,"Islamabad United","Peshawar Zalmi","male","2016/17",2017-02-18,"Pakistan Super League","12","Sharjah Cricket Stadium",NA,"Islamabad United","field","Mohammad Sami","Aleem Dar","RK Illingworth","Rashid Riaz","Asif Yaqoob","Mohammed Anees","Islamabad United",5,NA,NA,NA,NA
1075998,6,"Karachi Kings","Peshawar Zalmi","male","2016/17",2017-02-19,"Pakistan Super League","13","Sharjah Cricket Stadium",NA,"Peshawar Zalmi","field","Shoaib Malik","Ahmed Shahab","Aleem Dar","Rashid Riaz","Shozab Raza","Mohammed Anees","Karachi Kings",NA,NA,9,NA,NA
1075999,6,"Islamabad United","Lahore Qalandars","male","2016/17",2017-02-20,"Pakistan Super League","14","Sharjah Cricket Stadium",NA,"Lahore Qalandars","field","Umar Akmal","Ahmed Shahab","Ahsan Raza","Shozab Raza","Rashid Riaz","RS Mahanama","Lahore Qalandars",1,NA,NA,NA,NA
1076000,6,"Karachi Kings","Quetta Gladiators","male","2016/17",2017-02-23,"Pakistan Super League","15","Dubai International Cricket Stadium",NA,"Quetta Gladiators","field","Mahmudullah","Aleem Dar","REJ Martinesz","Mohammed Anees","Ahsan Raza","Shozab Raza","Quetta Gladiators",6,NA,NA,NA,NA
1076001,6,"Lahore Qalandars","Peshawar Zalmi","male","2016/17",2017-02-24,"Pakistan Super League","16","Dubai International Cricket Stadium",NA,"Peshawar Zalmi","bat","Shakib Al Hasan","REJ Martinesz","Shozab Raza","Ahsan Raza","Ahmed Shahab","RS Mahanama","Peshawar Zalmi",NA,NA,17,NA,NA
1076002,6,"Islamabad United","Quetta Gladiators","male","2016/17",2017-02-24,"Pakistan Super League","17","Dubai International Cricket Stadium",NA,"Quetta Gladiators","field","Mohammad Sami","Ahsan Raza","Aleem Dar","Ahmed Shahab","Rashid Riaz","Mohammed Anees","Islamabad United",NA,NA,1,NA,NA
1076003,6,"Karachi Kings","Lahore Qalandars","male","2016/17",2017-02-25,"Pakistan Super League","18","Dubai International Cricket Stadium",NA,"Karachi Kings","field","KA Pollard","REJ Martinesz","Shozab Raza","Ahsan Raza","Rashid Riaz","Mohammed Anees","Karachi Kings",5,NA,NA,NA,NA
1076004,6,"Peshawar Zalmi","Quetta Gladiators","male","2016/17",2017-02-25,"Pakistan Super League","19","Dubai International Cricket Stadium",NA,"Peshawar Zalmi","field","Mohammad Asghar","Ahmed Shahab","Ahsan Raza","Rashid Riaz","Aleem Dar","RS Mahanama","Peshawar Zalmi",2,NA,NA,NA,NA
1076005,6,"Islamabad United","Karachi Kings","male","2016/17",2017-02-26,"Pakistan Super League","20","Dubai International Cricket Stadium",NA,"Karachi Kings","field","CH Gayle","Aleem Dar","REJ Martinesz","Shozab Raza","Ahsan Raza","RS Mahanama","Karachi Kings",6,NA,NA,NA,NA
1076006,6,"Quetta Gladiators","Peshawar Zalmi","male","2016/17",2017-02-28,"Pakistan Super League",NA,"Sharjah Cricket Stadium","Sharjah","Peshawar Zalmi","field","Ahmed Shehzad","REJ Martinesz","Shozab Raza","Ahmed Shahab","Ahsan Raza","RS Mahanama","Quetta Gladiators",NA,NA,1,NA,NA
1076007,6,"Karachi Kings","Islamabad United","male","2016/17",2017-03-01,"Pakistan Super League",NA,"Sharjah Cricket Stadium","Sharjah","Islamabad United","field","Imad Wasim","REJ Martinesz","Shozab Raza","Ahmed Shahab","Ahsan Raza","RS Mahanama","Karachi Kings",NA,NA,44,NA,NA
1076008,6,"Peshawar Zalmi","Karachi Kings","male","2016/17",2017-03-03,"Pakistan Super League",NA,"Dubai International Cricket Stadium","Dubai","Karachi Kings","field","Kamran Akmal","Ahsan Raza","REJ Martinesz","Ahmed Shahab","Shozab Raza","RS Mahanama","Peshawar Zalmi",NA,NA,24,NA,NA
1076009,6,"Peshawar Zalmi","Quetta Gladiators","male","2016/17",2017-03-05,"Pakistan Super League",NA,"Gaddafi Stadium","Lahore","Quetta Gladiators","field","DJG Sammy","Ahsan Raza","REJ Martinesz",NA,"Shozab Raza","RS Mahanama","Peshawar Zalmi",NA,NA,58,NA,NA
1128818,6,"Peshawar Zalmi","Multan Sultans","male","2017/18",2018-02-22,"Pakistan Super League","1","Dubai International Cricket Stadium","Dubai","Multan Sultans","field","KC Sangakkara","Ahmed Shahab","RT Robinson","Rashid Riaz","REJ Martinesz","RS Mahanama","Multan Sultans",7,NA,NA,NA,NA
1128819,6,"Karachi Kings","Quetta Gladiators","male","2017/18",2018-02-23,"Pakistan Super League","2","Dubai International Cricket Stadium","Dubai","Karachi Kings","bat","CA Ingram","REJ Martinesz","Rashid Riaz","Khalid Mahmood","Ahmed Shahab","Mohammed Anees","Karachi Kings",NA,NA,19,NA,NA
1128820,6,"Multan Sultans","Lahore Qalandars","male","2017/18",2018-02-23,"Pakistan Super League","3","Dubai International Cricket Stadium","Dubai","Lahore Qalandars","field","Imran Tahir","Asif Yaqoob","RT Robinson","Khalid Mahmood","Shozab Raza","RS Mahanama","Multan Sultans",NA,NA,43,NA,NA
1128821,6,"Islamabad United","Peshawar Zalmi","male","2017/18",2018-02-24,"Pakistan Super League","4","Dubai International Cricket Stadium","Dubai","Islamabad United","field","Umaid Asif","REJ Martinesz","Rashid Riaz","Khalid Mahmood","Ahmed Shahab","Mohammed Anees","Peshawar Zalmi",NA,NA,34,NA,NA
1128822,6,"Quetta Gladiators","Lahore Qalandars","male","2017/18",2018-02-24,"Pakistan Super League","5","Dubai International Cricket Stadium","Dubai","Quetta Gladiators","field","Mohammad Nawaz (3)","Asif Yaqoob","RT Robinson","Khalid Mahmood","Shozab Raza","RS Mahanama","Quetta Gladiators",9,NA,NA,NA,NA
1128823,6,"Multan Sultans","Islamabad United","male","2017/18",2018-02-25,"Pakistan Super League","6","Dubai International Cricket Stadium","Dubai","Islamabad United","field","Hussain Talat","REJ Martinesz","Rashid Riaz","Khalid Mahmood",NA,NA,"Islamabad United",5,NA,NA,NA,NA
1128824,6,"Karachi Kings","Peshawar Zalmi","male","2017/18",2018-02-25,"Pakistan Super League","7","Dubai International Cricket Stadium","Dubai","Peshawar Zalmi","bat","DR Smith","REJ Martinesz","RT Robinson","Khalid Mahmood","Shozab Raza","RS Mahanama","Karachi Kings",5,NA,NA,NA,NA
1128825,6,"Karachi Kings","Lahore Qalandars","male","2017/18",2018-02-26,"Pakistan Super League","8","Dubai International Cricket Stadium","Dubai","Karachi Kings","bat","Shahid Afridi","REJ Martinesz","RT Robinson","Khalid Mahmood","Shozab Raza","RS Mahanama","Karachi Kings",NA,NA,27,NA,NA
1128826,6,"Islamabad United","Quetta Gladiators","male","2017/18",2018-02-28,"Pakistan Super League","9","Sharjah Cricket Stadium","Sharjah","Quetta Gladiators","field","KP Pietersen","REJ Martinesz","RT Robinson","Asif Yaqoob","Shozab Raza","RS Mahanama","Quetta Gladiators",6,NA,NA,NA,NA
1128827,6,"Quetta Gladiators","Peshawar Zalmi","male","2017/18",2018-03-01,"Pakistan Super League","10","Sharjah Cricket Stadium","Sharjah","Peshawar Zalmi","field","DJG Sammy","RT Robinson","Aleem Dar","Rashid Riaz","Ahmed Shahab",NA,"Peshawar Zalmi",5,NA,NA,NA,NA
1128829,6,"Lahore Qalandars","Islamabad United","male","2017/18",2018-03-02,"Pakistan Super League","12","Sharjah Cricket Stadium","Sharjah","Lahore Qalandars","field","Mohammad Sami","REJ Martinesz","Khalid Mahmood","Rashid Riaz","Ahmed Shahab","Mohammed Anees",NA,NA,NA,NA,"tie","Islamabad United"
1128830,6,"Multan Sultans","Quetta Gladiators","male","2017/18",2018-03-03,"Pakistan Super League","13","Sharjah Cricket Stadium","Sharjah","Multan Sultans","field","Sohail Tanvir","Ahmed Shahab","Aleem Dar","Asif Yaqoob","Shozab Raza","RS Mahanama","Multan Sultans",9,NA,NA,NA,NA
1128831,6,"Peshawar Zalmi","Lahore Qalandars","male","2017/18",2018-03-03,"Pakistan Super League","14","Sharjah Cricket Stadium","Sharjah","Lahore Qalandars","bat","LA Dawson","REJ Martinesz","RT Robinson","Asif Yaqoob","Khalid Mahmood","Mohammed Anees","Peshawar Zalmi",10,NA,NA,NA,NA
1128832,6,"Islamabad United","Karachi Kings","male","2017/18",2018-03-04,"Pakistan Super League","15","Sharjah Cricket Stadium","Sharjah","Islamabad United","field","L Ronchi","RT Robinson","Aleem Dar","Rashid Riaz","Ahmed Shahab","RS Mahanama","Islamabad United",8,NA,NA,NA,NA
1128833,6,"Peshawar Zalmi","Multan Sultans","male","2017/18",2018-03-06,"Pakistan Super League","16","Dubai International Cricket Stadium","Dubai","Peshawar Zalmi","field","Sohaib Maqsood","Asif Yaqoob","Aleem Dar","Khalid Mahmood","Shozab Raza","Mohammed Anees","Multan Sultans",NA,NA,19,NA,NA
1128834,6,"Multan Sultans","Quetta Gladiators","male","2017/18",2018-03-07,"Pakistan Super League","17","Dubai International Cricket Stadium","Dubai","Quetta Gladiators","field","Umar Gul","RT Robinson","Aleem Dar","Khalid Mahmood","Ahmed Shahab","Mohammed Anees","Quetta Gladiators",2,NA,NA,NA,NA
1128835,6,"Islamabad United","Lahore Qalandars","male","2017/18",2018-03-08,"Pakistan Super League","18","Dubai International Cricket Stadium","Dubai","Islamabad United","field","L Ronchi","RT Robinson","Aleem Dar","Khalid Mahmood","Rashid Riaz","Mohammed Anees","Islamabad United",6,NA,NA,NA,NA
1128836,6,"Karachi Kings","Quetta Gladiators","male","2017/18",2018-03-08,"Pakistan Super League","19","Dubai International Cricket Stadium","Dubai","Karachi Kings","field","SR Watson","Asif Yaqoob","Shozab Raza","Khalid Mahmood","Ahmed Shahab","RS Mahanama","Quetta Gladiators",NA,NA,67,NA,NA
1128837,6,"Multan Sultans","Lahore Qalandars","male","2017/18",2018-03-09,"Pakistan Super League","20","Dubai International Cricket Stadium","Dubai","Multan Sultans","bat","Shaheen Shah Afridi","Asif Yaqoob","RT Robinson","Khalid Mahmood","Shozab Raza","Mohammed Anees","Lahore Qalandars",6,NA,NA,NA,NA
1128838,6,"Peshawar Zalmi","Islamabad United","male","2017/18",2018-03-09,"Pakistan Super League","21","Dubai International Cricket Stadium","Dubai","Peshawar Zalmi","field","JP Duminy","Ahmed Shahab","Aleem Dar","Khalid Mahmood","Rashid Riaz","RS Mahanama","Islamabad United",NA,NA,26,NA,NA
1128839,6,"Multan Sultans","Karachi Kings","male","2017/18",2018-03-10,"Pakistan Super League","22","Dubai International Cricket Stadium","Dubai","Multan Sultans","field","Shahid Afridi","Asif Yaqoob","Aleem Dar","Khalid Mahmood","Shozab Raza","Mohammed Anees","Karachi Kings",NA,NA,63,NA,NA
