"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","match_referee","outcome","winner","winner_runs","winner_wickets","tv_umpire","winner_innings","reserve_umpire"
1036431,6,"Victoria","South Australia","male","2016/17",2017-03-26,"Sheffield Shield",NA,"Traeger Park, Alice Springs","Alice Springs","Victoria","bat","JM Holland","SD Fry","P Wilson","RW Stratford","draw",NA,NA,NA,"SJ Nogajski",NA,NA
1118866,6,"South Australia","New South Wales","male","2017/18",2017-10-27,"Sheffield Shield","3","Adelaide Oval","Adelaide","South Australia","bat","MA Starc","SJ Nogajski","JD Ward","DJ Harper",NA,"New South Wales",NA,6,NA,NA,NA
1118870,6,"Tasmania","Victoria","male","2017/18",2017-11-13,"Sheffield Shield","7","Melbourne Cricket Ground","Melbourne","Tasmania","bat","AJ Doolan","SJ Nogajski","DM Koch","D Talalla","draw",NA,NA,NA,NA,NA,NA
1118871,6,"Queensland","New South Wales","male","2017/18",2017-11-13,"Sheffield Shield","8","Allan Border Field, Brisbane","Brisbane","Queensland","bat","DP Hughes","SA Lightbody","PJ Gillespie","DJ Harper",NA,"New South Wales",NA,6,NA,NA,NA
1118878,6,"South Australia","Queensland","male","2017/18",2017-12-03,"Sheffield Shield","15","Cazaly's Stadium, Cairns","Cairns","South Australia","bat","JA Burns","GC Joshua","DM Koch","DJ Harper","draw",NA,NA,NA,NA,NA,NA
1118881,6,"New South Wales","Western Australia","male","2017/18",2018-02-08,"Sheffield Shield","18","Western Australia Cricket Association Ground, Perth","Perth","New South Wales","bat","SP Mackin","AK Wilds","SA Lightbody","RL Parry",NA,"Western Australia",NA,4,NA,NA,NA
1118882,6,"Tasmania","Western Australia","male","2017/18",2018-02-16,"Sheffield Shield","19","Bellerive Oval, Hobart","Hobart","Western Australia","field","MS Wade","GJ Davidson","A Deshmukh","DJ Harper",NA,"Tasmania",87,NA,NA,"1",NA
1118885,6,"New South Wales","Tasmania","male","2017/18",2018-02-24,"Sheffield Shield","22","Sydney Cricket Ground","Sydney","New South Wales","bat","BJ Webster","SJ Nogajski","JD Ward","PL Marshall","draw",NA,NA,NA,NA,NA,NA
1118887,6,"Queensland","South Australia","male","2017/18",2018-02-25,"Sheffield Shield","24","Adelaide Oval","Adelaide","South Australia","field","MT Renshaw","SA Lightbody","SAJ Craig","SR Bernard",NA,"Queensland",118,NA,NA,NA,NA
1118893,6,"Western Australia","South Australia","male","2017/18",2018-03-14,"Sheffield Shield","30","Gliderol Stadium, Adelaide","Adelaide","South Australia","field","HWR Cartwright","GJ Davidson","GA Abood","RW Stratford",NA,"Western Australia",241,NA,NA,NA,NA
1118894,6,"Tasmania","Queensland","male","2017/18",2018-03-23,"Sheffield Shield",NA,"Allan Border Field, Brisbane","Brisbane","Tasmania","bat","MS Wade","SJ Nogajski","GA Abood","PL Marshall",NA,"Queensland",NA,9,"PJ Gillespie",NA,NA
1150108,6,"New South Wales","South Australia","male","2018/19",2018-10-16,"Sheffield Shield","1","Adelaide Oval","Adelaide","South Australia","field","TA Copeland","SD Fry","SAJ Craig","DJ Harper","draw",NA,NA,NA,NA,NA,NA
1150109,6,"Tasmania","Queensland","male","2018/19",2018-10-16,"Sheffield Shield","2","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","field","JM Bird","SA Lightbody","GA Abood","SR Bernard",NA,"Tasmania",246,NA,NA,NA,NA
1150114,6,"New South Wales","Tasmania","male","2018/19",2018-11-05,"Sheffield Shield","9","Sydney Cricket Ground","Sydney","New South Wales","bat","JJS Sangha","SA Lightbody","GJ Davidson","PL Marshall","draw",NA,NA,NA,NA,NA,NA
1150118,6,"South Australia","Western Australia","male","2018/19",2018-11-16,"Sheffield Shield","11","Adelaide Oval","Adelaide","Western Australia","field","SE Marsh","SA Lightbody","JD Ward","RW Stratford",NA,"Western Australia",NA,5,NA,NA,NA
1150119,6,"Tasmania","Victoria","male","2018/19",2018-11-17,"Sheffield Shield","12","Bellerive Oval, Hobart","Hobart","Victoria","field","MS Wade","AK Wilds","MW Graham-Smith","RL Parry",NA,"Victoria",NA,6,NA,NA,NA
1150121,6,"Victoria","Queensland","male","2018/19",2018-11-27,"Sheffield Shield","14","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","field","JA Burns","AK Wilds","SA Lightbody","D Talalla",NA,"Queensland",NA,8,NA,NA,NA
1150126,6,"Queensland","Victoria","male","2018/19",2019-02-23,"Sheffield Shield","19","Junction Oval, Melbourne","Melbourne","Queensland","bat","MS Harris","SD Fry","SB Haig","RL Parry",NA,"Victoria",NA,3,NA,NA,NA
1150128,6,"South Australia","Tasmania","male","2018/19",2019-02-23,"Sheffield Shield","21","Adelaide Oval","Adelaide","South Australia","bat","JM Bird","JD Ward","AY Dandekar","SR Bernard",NA,"Tasmania",NA,6,NA,NA,NA
1150130,6,"New South Wales","Queensland","male","2018/19",2019-03-03,"Sheffield Shield","22","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","field","MC Henriques","AK Wilds","AY Dandekar","RL Parry",NA,"New South Wales",174,NA,NA,NA,NA
1150131,6,"South Australia","Western Australia","male","2018/19",2019-03-03,"Sheffield Shield","23","Western Australia Cricket Association Ground, Perth","Perth","Western Australia","field","M Kelly","SJ Nogajski","GA Abood","D Talalla",NA,"Western Australia",NA,6,NA,NA,NA
1150129,6,"Victoria","Tasmania","male","2018/19",2019-03-05,"Sheffield Shield","24","Melbourne Cricket Ground","Melbourne","Victoria","bat","NJ Maddinson","GC Joshua","A Jacobs","DJ Harper","draw",NA,NA,NA,NA,NA,NA
1150134,6,"Western Australia","Tasmania","male","2018/19",2019-03-12,"Sheffield Shield","27","Bellerive Oval, Hobart","Hobart","Tasmania","field","SM Whiteman","PJ Gillespie","GC Joshua","SR Bernard",NA,"Western Australia",51,NA,NA,NA,NA
1150135,6,"New South Wales","Tasmania","male","2018/19",2019-03-20,"Sheffield Shield","28","Bellerive Oval, Hobart","Hobart","Tasmania","field","SA Abbott","SJ Nogajski","P Wilson","RW Stratford",NA,"New South Wales",149,NA,NA,NA,NA
1150136,6,"South Australia","Victoria","male","2018/19",2019-03-20,"Sheffield Shield","29","Karen Rolton Oval, Adelaide","Adelaide","South Australia","bat","CP Tremain","SAJ Craig","GA Abood","PL Marshall",NA,"Victoria",NA,7,NA,NA,NA
1150137,6,"Western Australia","Queensland","male","2018/19",2019-03-20,"Sheffield Shield","30","Western Australia Cricket Association Ground, Perth","Perth","Queensland","field","AM Hardie","PJ Gillespie","GJ Davidson","DJ Harper",NA,"Western Australia",136,NA,NA,NA,NA
1196114,6,"Victoria","South Australia","male","2019/20",2019-10-10,"Marsh Sheffield Shield","1","Junction Oval, Melbourne","Melbourne","Victoria","bat","TLW Cooper","SD Fry","GC Joshua","SR Bernard","draw",NA,NA,NA,NA,NA,NA
1196115,6,"Queensland","New South Wales","male","2019/20",2019-10-10,"Marsh Sheffield Shield","2","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","bat","HNA Conway","GA Abood","DM Koch","PL Marshall",NA,"New South Wales",NA,5,NA,NA,NA
1196117,6,"Tasmania","New South Wales","male","2019/20",2019-10-18,"Marsh Sheffield Shield","4","Drummoyne Oval, Sydney","Sydney","Tasmania","bat","MA Starc","PJ Gillespie","MW Graham-Smith","RL Parry",NA,"New South Wales",NA,8,NA,NA,NA
1196118,6,"South Australia","Queensland","male","2019/20",2019-10-18,"Marsh Sheffield Shield","5","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","South Australia","bat","M Labuschagne","SAJ Craig","GJ Davidson","RW Stratford",NA,"Queensland",NA,4,NA,NA,NA
1196119,6,"Victoria","Western Australia","male","2019/20",2019-10-18,"Marsh Sheffield Shield","6","Western Australia Cricket Association Ground, Perth","Perth","Victoria","bat","SE Marsh","AK Wilds","GA Abood","D Talalla",NA,"Western Australia",NA,9,NA,NA,NA
1196121,6,"New South Wales","South Australia","male","2019/20",2019-11-01,"Marsh Sheffield Shield","8","Adelaide Oval","Adelaide","South Australia","field","CJ Sayers","JD Ward","GC Joshua","DJ Harper",NA,"New South Wales",96,NA,NA,NA,NA
1196122,6,"Western Australia","Queensland","male","2019/20",2019-11-02,"Marsh Sheffield Shield","9","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","field","C Green","SD Fry","MW Graham-Smith","SR Bernard","draw",NA,NA,NA,NA,NA,NA
1196125,6,"Queensland","Victoria","male","2019/20",2019-11-12,"Marsh Sheffield Shield","12","Melbourne Cricket Ground","Melbourne","Victoria","field",NA,"SAJ Craig","JD Ward","D Talalla",NA,"Queensland",59,NA,NA,NA,NA
1196129,6,"Western Australia","Victoria","male","2019/20",2019-12-07,"Marsh Sheffield Shield","16","Melbourne Cricket Ground","Melbourne","Victoria","field",NA,"PJ Gillespie","GC Joshua","RL Parry","draw",NA,NA,NA,NA,NA,NA
1196131,6,"Tasmania","South Australia","male","2019/20",2019-12-07,"Marsh Sheffield Shield","18","Bellerive Oval, Hobart","Hobart","South Australia","field","WA Agar","SD Fry","GA Abood","DJ Harper",NA,"South Australia",NA,6,NA,NA,NA
1196132,6,"Victoria","New South Wales","male","2019/20",2020-02-14,"Marsh Sheffield Shield","19","Sydney Cricket Ground","Sydney","Victoria","bat","NJ Maddinson","SAJ Craig","Stephen Harris","D Talalla",NA,"Victoria",112,NA,NA,NA,NA
1196133,6,"South Australia","Western Australia","male","2019/20",2020-02-14,"Marsh Sheffield Shield","20","Adelaide Oval","Adelaide","Western Australia","field","DJ Worrall","VK Sharma","MW Graham-Smith","DJ Harper",NA,"South Australia",109,NA,NA,NA,NA
1196134,6,"Tasmania","Queensland","male","2019/20",2020-02-14,"Marsh Sheffield Shield","21","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","field","MG Neser","JD Ward","A Mehrotra","RW Stratford",NA,"Queensland",NA,10,NA,NA,NA
1196135,6,"New South Wales","South Australia","male","2019/20",2020-02-24,"Marsh Sheffield Shield","22","Bankstown Oval, Sydney","Sydney","New South Wales","bat","DP Hughes","SD Fry","SAJ Craig","Dave Gilbert",NA,"New South Wales",133,NA,NA,NA,NA
1196136,6,"Western Australia","Tasmania","male","2019/20",2020-02-24,"Marsh Sheffield Shield","23","Bellerive Oval, Hobart","Hobart","Tasmania","field","BJ Webster","Stephen Harris","PJ Gillespie","RL Parry",NA,"Tasmania",NA,5,NA,NA,NA
1196137,6,"Victoria","Queensland","male","2019/20",2020-02-24,"Marsh Sheffield Shield","24","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","field","SE Gotch","VK Sharma","GC Joshua","RW Stratford",NA,"Victoria",44,NA,NA,NA,NA
1196138,6,"New South Wales","Tasmania","male","2019/20",2020-03-06,"Marsh Sheffield Shield","25","Bellerive Oval, Hobart","Hobart","Tasmania","field","NT Ellis","SD Fry","JD Ward","RL Parry",NA,"Tasmania",NA,9,NA,NA,NA
1196139,6,"Victoria","South Australia","male","2019/20",2020-03-06,"Marsh Sheffield Shield","26","Adelaide Oval","Adelaide","South Australia","field","W Sutherland","SJ Nogajski","DM Koch","D Talalla",NA,"Victoria",182,NA,NA,NA,NA
1196140,6,"Western Australia","Queensland","male","2019/20",2020-03-06,"Marsh Sheffield Shield","27","Western Australia Cricket Association Ground, Perth","Perth","Queensland","field","SM Whiteman","AK Wilds","GC Joshua","Kepler Wessels","draw",NA,NA,NA,NA,NA,NA
1233443,6,"Western Australia","South Australia","male","2020/21",2020-10-10,"Sheffield Shield","1","Karen Rolton Oval, Adelaide","Adelaide","Western Australia","bat","AC Agar","MW Graham-Smith","DM Koch","RL Parry",NA,"Western Australia",205,NA,NA,NA,NA
1233444,6,"Tasmania","Queensland","male","2020/21",2020-10-10,"Sheffield Shield","2","Park 25 No 2, Adelaide","Adelaide","Tasmania","bat","MG Neser","DR Close","BNJ Oxenford","RW Stratford",NA,"Queensland",59,NA,NA,"1",NA
1233445,6,"South Australia","Tasmania","male","2020/21",2020-10-19,"Sheffield Shield","4","Karen Rolton Oval, Adelaide","Adelaide","South Australia","bat","TM Head","SJ Nogajski","GA Abood","RW Stratford","draw",NA,NA,NA,NA,NA,NA
1233446,6,"New South Wales","Western Australia","male","2020/21",2020-10-19,"Sheffield Shield","3","Park 25 No 2, Adelaide","Adelaide","Western Australia","field","SA Abbott","P Wilson","DR Close","RL Parry","draw",NA,NA,NA,NA,NA,NA
1233448,6,"Queensland","New South Wales","male","2020/21",2020-10-30,"Sheffield Shield","7","Karen Rolton Oval, Adelaide","Adelaide","New South Wales","field","MJ Swepson","DM Koch","SJ Nogajski","SJ Davis",NA,"New South Wales",NA,1,NA,NA,NA
1233449,6,"Western Australia","Tasmania","male","2020/21",2020-10-30,"Sheffield Shield","5","Park 25 No 2, Adelaide","Adelaide","Tasmania","field","SE Marsh","PJ Gillespie","GA Abood","Kepler Wessels","draw",NA,NA,NA,NA,NA,NA
1233450,6,"South Australia","Victoria","male","2020/21",2020-10-30,"Sheffield Shield","6","Gliderol Stadium, Adelaide","Adelaide","South Australia","bat","WJ Pucovski","SAJ Craig","RJ Tucker","SD Fry","draw",NA,NA,NA,NA,NA,NA
1233452,6,"New South Wales","Tasmania","male","2020/21",2020-11-08,"Sheffield Shield","8","Park 25 No 2, Adelaide","Adelaide","Tasmania","field","SA Abbott","BNJ Oxenford","SAJ Craig","Kepler Wessels",NA,"New South Wales",145,NA,NA,NA,NA
1233453,6,"Queensland","South Australia","male","2020/21",2020-11-08,"Sheffield Shield","9","Gliderol Stadium, Adelaide","Adelaide","Queensland","bat","MJ Swepson","PJ Gillespie","RJ Tucker","SJ Davis",NA,"Queensland",62,NA,NA,NA,NA
1244512,6,"New South Wales","Victoria","male","2020/21",2021-02-17,"Sheffield Shield","11","Sydney Cricket Ground","Sydney","Victoria","field","NJ Maddinson","RJ Tucker","AK Wilds","Dave Gilbert",NA,"Victoria",NA,4,NA,NA,NA
1244519,6,"Tasmania","Queensland","male","2020/21",2021-02-17,"Sheffield Shield","12","Bellerive Oval, Hobart","Hobart","Queensland","field","JA Burns","DR Close","BNJ Oxenford","David Johnston",NA,"Queensland",NA,3,NA,NA,NA
1244506,6,"Tasmania","Victoria","male","2020/21",2021-03-05,"Sheffield Shield","15","Melbourne Cricket Ground","Melbourne","Victoria","field","JR Doran","SAJ Craig","SA Lightbody","RW Stratford","draw",NA,NA,NA,NA,NA,NA
1244505,6,"Western Australia","Queensland","male","2020/21",2021-03-06,"Sheffield Shield","17","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","field","C Green","GA Abood","AK Wilds","Dave Gilbert","draw",NA,NA,NA,NA,NA,NA
1251095,6,"South Australia","New South Wales","male","2020/21",2021-03-06,"Sheffield Shield","16","Adelaide Oval","Adelaide","South Australia","bat","SA Abbott","BC Treloar","MW Graham-Smith","SJ Davis",NA,"New South Wales",NA,6,NA,NA,NA
1244504,6,"Victoria","Queensland","male","2020/21",2021-03-15,"Sheffield Shield","18","Allan Border Field, Brisbane","Brisbane","Queensland","field","MS Harris","DM Koch","RJ Tucker","Kepler Wessels","draw",NA,NA,NA,NA,NA,NA
1244510,6,"Tasmania","New South Wales","male","2020/21",2021-03-20,"Sheffield Shield","19","Bellerive Oval, Hobart","Hobart","New South Wales","field","JM Bird","DR Close","MW Graham-Smith","David Johnston",NA,"Tasmania",298,NA,NA,NA,NA
1251083,6,"New South Wales","Queensland","male","2020/21",2021-04-03,"Sheffield Shield","22","North Dalton Park, Wollongong","Wollongong","Queensland","field","NM Lyon","P Wilson","GA Abood","SR Bernard","draw",NA,NA,NA,NA,NA,NA
1251084,6,"South Australia","Victoria","male","2020/21",2021-04-03,"Sheffield Shield","23","Junction Oval, Melbourne","Melbourne","South Australia","bat","JM Holland","SJ Nogajski","PJ Gillespie","RL Parry","draw",NA,NA,NA,NA,NA,NA
1251085,6,"Tasmania","Western Australia","male","2020/21",2021-04-03,"Sheffield Shield","24","Western Australia Cricket Association Ground, Perth","Perth","Western Australia","field","BJ Webster","SAJ Craig","MW Graham-Smith","Dave Gilbert",NA,"Tasmania",175,NA,NA,NA,NA
1244521,6,"New South Wales","Queensland","male","2020/21",2021-04-15,"Sheffield Shield",NA,"Allan Border Field, Brisbane","Brisbane","New South Wales","bat","M Labuschagne","SJ Nogajski","P Wilson","RL Parry",NA,"Queensland",33,NA,"DM Koch","1",NA
1270436,6,"Western Australia","South Australia","male","2021/22",2021-09-24,"Sheffield Shield","1","Karen Rolton Oval, Adelaide","Adelaide","Western Australia","bat","TM Head","MW Graham-Smith","SJ Nogajski","SD Fry","draw",NA,NA,NA,NA,NA,NA
1270435,6,"Tasmania","Queensland","male","2021/22",2021-10-07,"Sheffield Shield","2","Karen Rolton Oval, Adelaide","Adelaide","Tasmania","bat","TP Ward","DM Koch","DR Close","SD Fry","draw",NA,NA,NA,NA,NA,NA
1270448,6,"Queensland","South Australia","male","2021/22",2021-10-15,"Sheffield Shield","3","Adelaide Oval","Adelaide","South Australia","field","MT Steketee","SAJ Craig","DM Koch","SJ Davis","draw",NA,NA,NA,NA,NA,NA
1270452,6,"Western Australia","Tasmania","male","2021/22",2021-10-17,"Sheffield Shield","4","Western Australia Cricket Association Ground, Perth","Perth","Tasmania","field","L Neil-Smith","MW Graham-Smith","SJ Nogajski","David Johnston",NA,"Tasmania",NA,3,NA,NA,NA
1270442,6,"Victoria","New South Wales","male","2021/22",2021-10-27,"Sheffield Shield","7","Drummoyne Oval, Sydney","Sydney","Victoria","bat","NJ Maddinson","GJ Davidson","GA Abood","Dave Gilbert",NA,"Victoria",204,NA,NA,NA,NA
1270437,6,"Victoria","New South Wales","male","2021/22",2021-11-05,"Sheffield Shield","8","Melbourne Cricket Ground","Melbourne","New South Wales","field","SM Boland","PJ Gillespie","AK Wilds","RL Parry",NA,"Victoria",174,NA,NA,NA,NA
1270446,6,"South Australia","Tasmania","male","2021/22",2021-11-10,"Sheffield Shield","10","Bellerive Oval, Hobart","Hobart","Tasmania","field","HJ Hunt","SJ Nogajski","DR Close","David Johnston","draw",NA,NA,NA,NA,NA,NA
1270456,6,"Queensland","Western Australia","male","2021/22",2021-11-10,"Sheffield Shield","9","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Western Australia","field","JA Richardson","BNJ Oxenford","SAJ Craig","Kepler Wessels",NA,"Western Australia",NA,7,NA,NA,NA
