"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","match_referee","outcome","winner","winner_runs","winner_wickets","tv_umpire","winner_innings","reserve_umpire"
1270462,6,"New South Wales","Victoria","male","2021/22",2021-11-20,"Sheffield Shield","11","Sydney Cricket Ground","Sydney","Victoria","field","TJ Dean","PJ Gillespie","BC Treloar","RW Stratford","draw",NA,NA,NA,NA,NA,NA
1270441,6,"Queensland","South Australia","male","2021/22",2021-11-23,"Sheffield Shield","13","Karen Rolton Oval, Adelaide","Adelaide","South Australia","field","MP Kuhnemann","MW Graham-Smith","DM Koch","SJ Davis",NA,"Queensland",NA,8,NA,NA,NA
1270451,6,"South Australia","Victoria","male","2021/22",2022-02-09,"Sheffield Shield","14","Adelaide Oval","Adelaide","South Australia","bat","PSP Handscomb","GJ Davidson","D Taylor","SD Fry","draw",NA,NA,NA,NA,NA,NA
1270459,6,"Queensland","New South Wales","male","2021/22",2022-02-09,"Sheffield Shield","15","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","New South Wales","field","CP Tremain","AK Wilds","BC Treloar","Kepler Wessels",NA,"New South Wales",NA,2,NA,NA,NA
1270447,6,"New South Wales","Tasmania","male","2021/22",2022-02-18,"Sheffield Shield","17","Sydney Cricket Ground","Sydney","New South Wales","bat","H Kerr","GA Abood","AK Wilds","Dave Gilbert",NA,"New South Wales",75,NA,NA,NA,NA
1270453,6,"Queensland","Victoria","male","2021/22",2022-02-18,"Sheffield Shield","16","Junction Oval, Melbourne","Melbourne","Queensland","bat","NJ Maddinson","GJ Davidson","SA Lightbody","RL Parry","draw",NA,NA,NA,NA,NA,NA
1270440,6,"Tasmania","Victoria","male","2021/22",2022-03-15,"Sheffield Shield","20","Junction Oval, Melbourne","Melbourne","Tasmania","bat","TJ Dean","NR Johnstone","SAJ Craig","RW Stratford",NA,"Victoria",NA,2,NA,NA,NA
1270445,6,"Western Australia","New South Wales","male","2021/22",2022-03-15,"Sheffield Shield","19","Bankstown Oval, Sydney","Sydney","Western Australia","bat","CT Bancroft","GA Abood","GJ Davidson","Kent Hannam","draw",NA,NA,NA,NA,NA,NA
1270438,6,"New South Wales","South Australia","male","2021/22",2022-03-23,"Sheffield Shield","22","Karen Rolton Oval, Adelaide","Adelaide","South Australia","field","JJS Sangha","DM Koch","SAJ Craig","SD Fry",NA,"South Australia",NA,5,NA,NA,NA
1270455,6,"Queensland","Tasmania","male","2021/22",2022-03-23,"Sheffield Shield","21","Bellerive Oval, Hobart","Hobart","Tasmania","field","SL Rainbird","MW Graham-Smith","SJ Nogajski","David Johnston",NA,"Tasmania",231,NA,NA,"1",NA
1270461,6,"Victoria","Western Australia","male","2021/22",2022-03-23,"Sheffield Shield","23","Western Australia Cricket Association Ground, Perth","Perth","Western Australia","field","HWR Cartwright","GA Abood","PJ Gillespie","SR Bernard",NA,"Western Australia",51,NA,NA,"1",NA
1270465,6,"Western Australia","Victoria","male","2021/22",2022-03-31,"Sheffield Shield",NA,"Western Australia Cricket Association Ground, Perth","Perth","Victoria","field","SM Whiteman","DM Koch","SJ Nogajski","RL Parry","draw",NA,NA,NA,NA,NA,"PJ Gillespie"
1322396,6,"New South Wales","Western Australia","male","2022/23",2022-10-03,"Sheffield Shield",NA,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","field","LR Morris","GA Abood","MW Graham-Smith","SD Fry",NA,"Western Australia",NA,8,NA,NA,NA
1322397,6,"Tasmania","Queensland","male","2022/23",2022-10-06,"Sheffield Shield","2","Allan Border Field, Brisbane","Brisbane","Queensland","field","GS Sandhu","BNJ Oxenford","NR Johnstone","Kepler Wessels",NA,"Queensland",172,NA,NA,"1",NA
1322398,6,"Victoria","South Australia","male","2022/23",2022-10-06,"Sheffield Shield","3","Karen Rolton Oval, Adelaide","Adelaide","South Australia","field","W Sutherland","BC Treloar","GJ Davidson","SJ Davis","draw",NA,NA,NA,NA,NA,NA
1322399,6,"South Australia","Tasmania","male","2022/23",2022-10-16,"Sheffield Shield","4","Adelaide Oval","Adelaide","South Australia","bat","PM Siddle","BNJ Oxenford","GA Abood","SJ Davis",NA,"Tasmania",NA,7,NA,NA,NA
1322400,6,"Western Australia","Victoria","male","2022/23",2022-10-17,"Sheffield Shield","5","Junction Oval, Melbourne","Melbourne","Western Australia","bat","PSP Handscomb","NR Johnstone","SAJ Craig","RL Parry","draw",NA,NA,NA,NA,NA,NA
1322401,6,"New South Wales","Queensland","male","2022/23",2022-10-18,"Sheffield Shield","6","Drummoyne Oval, Sydney","Sydney","Queensland","field","MT Renshaw","GJ Davidson","SA Lightbody","Dave Gilbert","draw",NA,NA,NA,NA,NA,NA
1322402,6,"Victoria","Tasmania","male","2022/23",2022-10-29,"Sheffield Shield","7","Bellerive Oval, Hobart","Hobart","Tasmania","field","JC Silk","D Taylor","MW Graham-Smith","David Johnston","draw",NA,NA,NA,NA,NA,NA
1322403,6,"New South Wales","South Australia","male","2022/23",2022-10-31,"Sheffield Shield","8","North Dalton Park, Wollongong","Wollongong","New South Wales","bat","WA Agar","BC Treloar","SJ Nogajski","SR Bernard","draw",NA,NA,NA,NA,NA,NA
1322404,6,"Queensland","Western Australia","male","2022/23",2022-10-31,"Sheffield Shield","9","Western Australia Cricket Association Ground, Perth","Perth","Western Australia","field","AM Hardie","SAJ Craig","SA Lightbody","RW Stratford",NA,"Western Australia",NA,3,NA,NA,NA
1322405,6,"Victoria","Queensland","male","2022/23",2022-11-10,"Sheffield Shield","10","Allan Border Field, Brisbane","Brisbane","Victoria","bat","MG Neser","GA Abood","PJ Gillespie","Kepler Wessels",NA,"Queensland",10,NA,NA,"1",NA
1322406,6,"South Australia","Western Australia","male","2022/23",2022-11-11,"Sheffield Shield","11","Western Australia Cricket Association Ground, Perth","Perth","Western Australia","field","SM Whiteman","BNJ Oxenford","MW Graham-Smith","Dave Gilbert",NA,"Western Australia",28,NA,NA,"1",NA
1322407,6,"Tasmania","New South Wales","male","2022/23",2022-11-12,"Sheffield Shield","12","Bellerive Oval, Hobart","Hobart","New South Wales","field","MS Wade","DM Koch","GJ Davidson","David Johnston","draw",NA,NA,NA,NA,NA,NA
1322408,6,"South Australia","Queensland","male","2022/23",2022-11-20,"Sheffield Shield","13","Adelaide Oval","Adelaide","Queensland","field","N McAndrew","NR Johnstone","SAJ Craig","SJ Davis","draw",NA,NA,NA,NA,NA,NA
1322409,6,"Western Australia","New South Wales","male","2022/23",2022-11-22,"Sheffield Shield","14","Sydney Cricket Ground","Sydney","Western Australia","bat","CJ Green","BC Treloar","MW Graham-Smith","David Johnston",NA,"Western Australia",133,NA,NA,NA,NA
1322410,6,"Victoria","Tasmania","male","2022/23",2022-11-24,"Sheffield Shield","15","Melbourne Cricket Ground","Melbourne","Tasmania","field","JM Bird","GJ Davidson","SA Lightbody","Kent Hannam",NA,"Tasmania",NA,4,NA,NA,NA
1322411,6,"Victoria","New South Wales","male","2022/23",2022-12-01,"Sheffield Shield","16","Junction Oval, Melbourne","Melbourne","New South Wales","field","W Sutherland","PJ Gillespie","SAJ Craig","RW Stratford",NA,"Victoria",69,NA,NA,NA,NA
1322412,6,"South Australia","Tasmania","male","2022/23",2022-12-01,"Sheffield Shield","17","Bellerive Oval, Hobart","Hobart","Tasmania","field","NA McSweeney","DM Koch","NR Johnstone","David Johnston",NA,"South Australia",208,NA,NA,NA,NA
1322413,6,"Queensland","Western Australia","male","2022/23",2022-12-01,"Sheffield Shield","18","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Western Australia","field","CT Bancroft","BC Treloar","BNJ Oxenford","Kent Hannam","draw",NA,NA,NA,NA,NA,NA
1322414,6,"Victoria","Queensland","male","2022/23",2023-02-09,"Sheffield Shield","19","Melbourne Cricket Ground","Melbourne","Queensland","field","MS Harris","PJ Gillespie","Troy Penman","RL Parry",NA,"Victoria",164,NA,NA,NA,NA
1322415,6,"South Australia","Western Australia","male","2022/23",2023-02-10,"Sheffield Shield","20","Adelaide Oval","Adelaide","Western Australia","field","DR Drew","P Wilson","SE Dionysius","SD Fry",NA,"South Australia",164,NA,NA,NA,NA
1322416,6,"New South Wales","Tasmania","male","2022/23",2023-02-11,"Sheffield Shield","21","Sydney Cricket Ground","Sydney","New South Wales","bat","DP Hughes","DM Koch","GA Abood","Dave Gilbert","draw",NA,NA,NA,NA,NA,NA
1322417,6,"Victoria","South Australia","male","2022/23",2023-02-20,"Sheffield Shield","22","Junction Oval, Melbourne","Melbourne","Victoria","bat","MW Short","DM Koch","SA Lightbody","RW Stratford",NA,"Victoria",177,NA,NA,NA,NA
1322418,6,"Western Australia","Tasmania","male","2022/23",2023-02-21,"Sheffield Shield","23","Bellerive Oval, Hobart","Hobart","Tasmania","field","CT Bancroft","SJ Nogajski","Sharad Patel","David Johnston",NA,"Western Australia",383,NA,NA,NA,NA
1322419,6,"New South Wales","Queensland","male","2022/23",2023-02-21,"Sheffield Shield","24","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","field","JJ Peirson","D Taylor","P Wilson","Kepler Wessels",NA,"Queensland",NA,5,NA,NA,NA
1322420,6,"New South Wales","Victoria","male","2022/23",2023-03-02,"Sheffield Shield","25","Lavington Sports Oval, Albury","Albury","Victoria","field","MW Short","BNJ Oxenford","NR Johnstone","SR Bernard",NA,"Victoria",NA,10,NA,NA,NA
1322421,6,"South Australia","Queensland","male","2022/23",2023-03-02,"Sheffield Shield","26","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","field","JJ Peirson","GA Abood","MW Graham-Smith","RL Parry",NA,"Queensland",NA,5,NA,NA,NA
1322422,6,"Tasmania","Western Australia","male","2022/23",2023-03-02,"Sheffield Shield","27","Western Australia Cricket Association Ground, Perth","Perth","Tasmania","bat","CH Stobo","PJ Gillespie","SA Lightbody","SJ Davis",NA,"Western Australia",NA,9,NA,NA,NA
1322423,6,"Tasmania","Queensland","male","2022/23",2023-03-14,"Sheffield Shield","28","Bellerive Oval, Hobart","Hobart","Queensland","field","BJ Webster","MW Graham-Smith","SAJ Craig","SR Bernard","draw",NA,NA,NA,NA,NA,NA
1322424,6,"New South Wales","South Australia","male","2022/23",2023-03-14,"Sheffield Shield","29","Karen Rolton Oval, Adelaide","Adelaide","South Australia","field","J Edwards","DM Koch","SJ Nogajski","SD Fry","draw",NA,NA,NA,NA,NA,NA
1322425,6,"Western Australia","Victoria","male","2022/23",2023-03-14,"Sheffield Shield","30","Western Australia Cricket Association Ground, Perth","Perth","Victoria","field","SM Boland","BC Treloar","GJ Davidson","Kent Hannam",NA,"Victoria",NA,7,NA,NA,NA
1322426,6,"Victoria","Western Australia","male","2022/23",2023-03-23,"Sheffield Shield",NA,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","field","AJ Turner","MW Graham-Smith","SJ Nogajski","Kepler Wessels",NA,"Western Australia",NA,9,NA,NA,"DM Koch"
1391770,6,"South Australia","Tasmania","male","2023/24",2023-10-03,"Sheffield Shield","1","Karen Rolton Oval, Adelaide","Adelaide","South Australia","bat","CA Wakim","GJ Davidson","SJ Nogajski","SD Fry",NA,"Tasmania",NA,7,NA,NA,NA
1391771,6,"Queensland","New South Wales","male","2023/24",2023-10-04,"Sheffield Shield","2","Cricket Central, Sydney","Sydney","New South Wales","field","J Edwards","NR Johnstone","SA Lightbody","Dave Gilbert","draw",NA,NA,NA,NA,NA,NA
1391772,6,"Victoria","Western Australia","male","2023/24",2023-10-04,"Sheffield Shield","3","Western Australia Cricket Association Ground, Perth","Perth","Western Australia","field","CT Bancroft","GA Abood","SAJ Craig","RL Parry",NA,"Western Australia",53,NA,NA,"1",NA
1391773,6,"Victoria","Queensland","male","2023/24",2023-10-14,"Sheffield Shield","4","Great Barrier Reef Arena, Mackay","Mackay","Queensland","field","MT Renshaw","DM Koch","Sharad Patel","Kepler Wessels",NA,"Queensland",104,NA,NA,"1",NA
1391774,6,"South Australia","New South Wales","male","2023/24",2023-10-15,"Sheffield Shield","5","Adelaide Oval","Adelaide","New South Wales","field","NA McSweeney","MW Graham-Smith","Troy Penman","SD Fry",NA,"South Australia",186,NA,NA,NA,NA
1391775,6,"Tasmania","Western Australia","male","2023/24",2023-10-15,"Sheffield Shield","6","Western Australia Cricket Association Ground, Perth","Perth","Tasmania","bat","SM Whiteman","SJ Nogajski","SE Dionysius","RW Stratford","draw",NA,NA,NA,NA,NA,NA
1391776,6,"Victoria","New South Wales","male","2023/24",2023-10-26,"Sheffield Shield","7","Melbourne Cricket Ground","Melbourne","New South Wales","field","F O'Neill","DM Koch","GA Abood","Kent Hannam",NA,"Victoria",205,NA,NA,NA,NA
1391777,6,"Queensland","Tasmania","male","2023/24",2023-10-26,"Sheffield Shield","8","Bellerive Oval, Hobart","Hobart","Tasmania","field","MS Wade","BC Treloar","MW Graham-Smith","David Johnston",NA,"Tasmania",NA,3,NA,NA,NA
1391778,6,"Western Australia","South Australia","male","2023/24",2023-10-26,"Sheffield Shield","9","Adelaide Oval","Adelaide","Western Australia","bat","JS Paris","D Taylor","PJ Gillespie","SJ Davis",NA,"Western Australia",200,NA,NA,NA,NA
1391779,6,"Tasmania","Victoria","male","2023/24",2023-11-05,"Sheffield Shield","10","Junction Oval, Melbourne","Melbourne","Victoria","field","MS Harris","SAJ Craig","SA Lightbody","RW Stratford","draw",NA,NA,NA,NA,NA,NA
1391780,6,"Western Australia","New South Wales","male","2023/24",2023-11-06,"Sheffield Shield","11","Sydney Cricket Ground","Sydney","New South Wales","field","O Davies","BC Treloar","GJ Davidson","SJ Davis",NA,"New South Wales",NA,10,NA,NA,NA
1391781,6,"South Australia","Queensland","male","2023/24",2023-11-06,"Sheffield Shield","12","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","field","N McAndrew","NR Johnstone","PJ Gillespie","Kepler Wessels",NA,"South Australia",3,NA,NA,NA,NA
1391782,6,"South Australia","Western Australia","male","2023/24",2023-11-15,"Sheffield Shield","13","Western Australia Cricket Association Ground, Perth","Perth","Western Australia","field","J Goodwin","CA Polosak","SJ Nogajski","Dave Gilbert",NA,"Western Australia",NA,2,NA,NA,NA
1391783,6,"Victoria","Queensland","male","2023/24",2023-11-16,"Sheffield Shield","14","Melbourne Cricket Ground","Melbourne","Queensland","field","W Sutherland","Eloise Sheridan","GA Abood","RL Parry",NA,"Victoria",113,NA,NA,NA,NA
1391784,6,"New South Wales","Tasmania","male","2023/24",2023-11-18,"Sheffield Shield","15","Bellerive Oval, Hobart","Hobart","Tasmania","field","BM Hope","BNJ Oxenford","SA Lightbody","David Johnston",NA,"Tasmania",1,NA,NA,"1",NA
1391785,6,"Victoria","South Australia","male","2023/24",2023-11-28,"Sheffield Shield","16","Adelaide Oval","Adelaide","South Australia","field","SB Harper","MW Graham-Smith","NR Johnstone","SD Fry",NA,"Victoria",23,NA,NA,NA,NA
1391786,6,"New South Wales","Tasmania","male","2023/24",2023-11-28,"Sheffield Shield","17","Sydney Cricket Ground","Sydney","Tasmania","field","CP Tremain","BC Treloar","PJ Gillespie","Kent Hannam",NA,"New South Wales",74,NA,NA,NA,NA
1391787,6,"Queensland","Western Australia","male","2023/24",2023-11-28,"Sheffield Shield","18","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Western Australia","field","HWR Cartwright","BNJ Oxenford","DM Koch","Kepler Wessels","draw",NA,NA,NA,NA,NA,NA
1391788,6,"South Australia","Victoria","male","2023/24",2024-02-03,"Sheffield Shield","19","Junction Oval, Melbourne","Melbourne","Victoria","field","NJ Maddinson","GJ Davidson","SA Lightbody","RW Stratford",NA,"Victoria",NA,3,NA,NA,NA
1391789,6,"Queensland","Tasmania","male","2023/24",2024-02-03,"Sheffield Shield","20","Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","bat",NA,"Andrew Crozier","SAJ Craig","Kepler Wessels",NA,"Tasmania",NA,4,NA,NA,NA
1391790,6,"Western Australia","New South Wales","male","2023/24",2024-02-03,"Sheffield Shield","21","Western Australia Cricket Association Ground, Perth","Perth","New South Wales","field","CJ Green","BC Treloar","NR Johnstone","Kent Hannam",NA,"New South Wales",NA,4,NA,NA,NA
1391791,6,"New South Wales","Victoria","male","2023/24",2024-02-16,"Sheffield Shield","22","Sydney Cricket Ground","Sydney","Victoria","field","SM Boland","GJ Davidson","SAJ Craig","RL Parry","draw",NA,NA,NA,NA,NA,NA
1391792,6,"Tasmania","Western Australia","male","2023/24",2024-02-16,"Sheffield Shield","23","Bellerive Oval, Hobart","Hobart","Western Australia","field","CP Jewell","BC Treloar","GA Abood","David Johnston","draw",NA,NA,NA,NA,NA,NA
1391793,6,"South Australia","Queensland","male","2023/24",2024-02-16,"Sheffield Shield","24","Adelaide Oval","Adelaide","South Australia","bat","MT Steketee","BNJ Oxenford","NR Johnstone","SJ Davis",NA,"Queensland",NA,7,NA,NA,NA
1391794,6,"South Australia","New South Wales","male","2023/24",2024-03-01,"Sheffield Shield","25","Cricket Central, Sydney","Sydney","New South Wales","field","DP Hughes","DM Koch","PJ Gillespie","Dave Gilbert","draw",NA,NA,NA,NA,NA,NA
1391795,6,"Tasmania","Victoria","male","2023/24",2024-03-01,"Sheffield Shield","26","Bellerive Oval, Hobart","Hobart","Victoria","field","BJ Webster","MW Graham-Smith","SJ Nogajski","David Johnston",NA,"Tasmania",57,NA,NA,NA,NA
1391796,6,"Western Australia","Queensland","male","2023/24",2024-03-01,"Sheffield Shield","27","Western Australia Cricket Association Ground, Perth","Perth","Queensland","field","JP Inglis","BNJ Oxenford","P Wilson","RW Stratford",NA,"Western Australia",146,NA,NA,NA,NA
1391797,6,"South Australia","Tasmania","male","2023/24",2024-03-11,"Sheffield Shield","28","Bellerive Oval, Hobart","Hobart","Tasmania","field","NA McSweeney","DM Koch","GA Abood","David Johnston",NA,"South Australia",134,NA,NA,NA,NA
1391798,6,"Western Australia","Victoria","male","2023/24",2024-03-11,"Sheffield Shield","29","Junction Oval, Melbourne","Melbourne","Victoria","field","CJ Gannon","MW Graham-Smith","PJ Gillespie","RL Parry",NA,"Western Australia",138,NA,NA,NA,NA
1391799,6,"Queensland","New South Wales","male","2023/24",2024-03-11,"Sheffield Shield","30","Allan Border Field, Brisbane","Brisbane","New South Wales","field","O Davies","SJ Nogajski","SAJ Craig","Kent Hannam",NA,"New South Wales",NA,5,NA,NA,NA
1391800,6,"Western Australia","Tasmania","male","2023/24",2024-03-21,"Sheffield Shield",NA,"Western Australia Cricket Association Ground, Perth","Perth","Tasmania","field","SM Whiteman","SJ Nogajski","SAJ Craig","RL Parry",NA,"Western Australia",377,NA,NA,NA,"GA Abood"
