"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"RP Yadav",2020-11-09,"Trailblazers","Supernovas",1,"4.0",0,16,5,4,13,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
"S Ecclestone",2020-11-05,"Velocity","Trailblazers",1,"3.1",1,9,4,2.84210526315789,15,"Women's T20 Challenge","2020/21",1235587,"Sharjah Cricket Stadium","Sharjah","Velocity","Trailblazers","Velocity","bat","S Ecclestone","Trailblazers","9",NA
"P Vastrakar",2022-05-23,"Trailblazers","Supernovas",2,"4.0",0,12,4,3,15,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
"DB Sharma",2019-05-08,"Velocity","Trailblazers",2,"4.0",0,14,4,3.5,14,"Women's T20 Challenge","2019",1181894,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Velocity","Velocity","field","DN Wyatt","Velocity","3",NA
"Salma Khatun",2020-11-09,"Supernovas","Trailblazers",2,"4.0",0,18,3,4.5,8,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
"E Bisht",2020-11-04,"Supernovas","Velocity",1,"4.0",0,22,3,5.5,9,"Women's T20 Challenge","2020/21",1235586,"Sharjah Cricket Stadium","Sharjah","Supernovas","Velocity","Velocity","field","S Luus","Velocity","5",NA
"HK Matthews",2022-05-23,"Supernovas","Trailblazers",1,"4.0",0,29,3,7.25,8,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
"A King",2022-05-28,"Velocity","Supernovas",2,"4.0",0,32,3,8,10,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"DB Sharma",2020-11-09,"Supernovas","Trailblazers",2,"3.0",0,9,2,3,9,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
"S Ecclestone",2019-05-06,"Supernovas","Trailblazers",2,"4.0",0,11,2,2.75,16,"Women's T20 Challenge","2019",1181893,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"2"
"E Bisht",2019-05-08,"Trailblazers","Velocity",1,"4.0",0,13,2,3.25,12,"Women's T20 Challenge","2019",1181894,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Velocity","Velocity","field","DN Wyatt","Velocity","3",NA
"J Goswami",2020-11-05,"Velocity","Trailblazers",1,"3.0",0,13,2,4.33333333333333,12,"Women's T20 Challenge","2020/21",1235587,"Sharjah Cricket Stadium","Sharjah","Velocity","Trailblazers","Velocity","bat","S Ecclestone","Trailblazers","9",NA
"RS Gayakwad",2020-11-05,"Velocity","Trailblazers",1,"3.0",1,13,2,4.33333333333333,12,"Women's T20 Challenge","2020/21",1235587,"Sharjah Cricket Stadium","Sharjah","Velocity","Trailblazers","Velocity","bat","S Ecclestone","Trailblazers","9",NA
"SW Bates",2018-05-22,"Supernovas","Trailblazers",2,"3.0",0,16,2,5.33333333333333,7,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"RS Gayakwad",2019-05-06,"Supernovas","Trailblazers",2,"4.0",0,17,2,4.25,12,"Women's T20 Challenge","2019",1181893,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"2"
"ML Schutt",2018-05-22,"Trailblazers","Supernovas",1,"4.0",0,18,2,4.5,13,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"S Ecclestone",2022-05-23,"Trailblazers","Supernovas",2,"4.0",0,19,2,4.75,16,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
"DB Sharma",2022-05-28,"Supernovas","Velocity",1,"4.0",0,20,2,5,5,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"EA Perry",2018-05-22,"Trailblazers","Supernovas",1,"3.0",0,20,2,6.66666666666667,11,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"AC Kerr",2019-05-08,"Trailblazers","Velocity",1,"3.0",0,21,2,7,7,"Women's T20 Challenge","2019",1181894,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Velocity","Velocity","field","DN Wyatt","Velocity","3",NA
"AC Kerr",2019-05-09,"Supernovas","Velocity",1,"4.0",0,21,2,5.25,9,"Women's T20 Challenge","2019",1181895,"Sawai Mansingh Stadium, Jaipur","Jaipur","Supernovas","Velocity","Velocity","field","JI Rodrigues","Supernovas",NA,"12"
"DJS Dottin",2022-05-24,"Velocity","Supernovas",2,"3.2",0,21,2,6.3,12,"Women's T20 Challenge","2022",1314904,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","H Kaur","Velocity","7",NA
"Jahanara Alam",2019-05-11,"Supernovas","Velocity",2,"4.0",0,21,2,5.25,14,"Women's T20 Challenge","2019",1181896,"Sawai Mansingh Stadium, Jaipur","Jaipur","Velocity","Supernovas","Supernovas","field","H Kaur","Supernovas","4",NA
"LMM Tahuhu",2019-05-11,"Velocity","Supernovas",1,"4.0",1,21,2,5.25,15,"Women's T20 Challenge","2019",1181896,"Sawai Mansingh Stadium, Jaipur","Jaipur","Velocity","Supernovas","Supernovas","field","H Kaur","Supernovas","4",NA
"Poonam Yadav",2018-05-22,"Supernovas","Trailblazers",2,"4.0",0,21,2,5.25,8,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"LM Kasperek",2020-11-04,"Supernovas","Velocity",1,"4.0",0,23,2,5.75,11,"Women's T20 Challenge","2020/21",1235586,"Sharjah Cricket Stadium","Sharjah","Supernovas","Velocity","Velocity","field","S Luus","Velocity","5",NA
"KL Cross",2022-05-24,"Supernovas","Velocity",1,"4.0",0,24,2,6,12,"Women's T20 Challenge","2022",1314904,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","H Kaur","Velocity","7",NA
"A Khaka",2020-11-04,"Velocity","Supernovas",2,"4.0",1,27,2,6.75,14,"Women's T20 Challenge","2020/21",1235586,"Sharjah Cricket Stadium","Sharjah","Supernovas","Velocity","Velocity","field","S Luus","Velocity","5",NA
"Jahanara Alam",2020-11-04,"Supernovas","Velocity",1,"4.0",0,27,2,6.75,8,"Women's T20 Challenge","2020/21",1235586,"Sharjah Cricket Stadium","Sharjah","Supernovas","Velocity","Velocity","field","S Luus","Velocity","5",NA
"DJS Dottin",2022-05-28,"Velocity","Supernovas",2,"4.0",1,28,2,7,15,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"RP Yadav",2019-05-06,"Trailblazers","Supernovas",1,"4.0",0,28,2,7,8,"Women's T20 Challenge","2019",1181893,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"2"
"S Ecclestone",2022-05-28,"Velocity","Supernovas",2,"4.0",0,28,2,7,12,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"AC Kerr",2019-05-11,"Supernovas","Velocity",2,"4.0",0,29,2,7.25,10,"Women's T20 Challenge","2019",1181896,"Sawai Mansingh Stadium, Jaipur","Jaipur","Velocity","Supernovas","Supernovas","field","H Kaur","Supernovas","4",NA
"KL Cross",2022-05-28,"Supernovas","Velocity",1,"4.0",0,29,2,7.25,6,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"A King",2022-05-23,"Trailblazers","Supernovas",2,"4.0",0,30,2,7.5,11,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
"RP Yadav",2020-11-07,"Trailblazers","Supernovas",2,"4.0",0,30,2,7.5,5,"Women's T20 Challenge","2020/21",1235588,"Sharjah Cricket Stadium","Sharjah","Supernovas","Trailblazers","Supernovas","bat","AC Jayangani","Supernovas",NA,"2"
"Salma Khatun",2022-05-23,"Supernovas","Trailblazers",1,"4.0",0,30,2,7.5,7,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
"SD Bahadur",2022-05-28,"Supernovas","Velocity",1,"4.0",0,30,2,7.5,8,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"SC Selman",2020-11-07,"Trailblazers","Supernovas",2,"4.0",0,31,2,7.75,8,"Women's T20 Challenge","2020/21",1235588,"Sharjah Cricket Stadium","Sharjah","Supernovas","Trailblazers","Supernovas","bat","AC Jayangani","Supernovas",NA,"2"
"SD Bahadur",2022-05-26,"Trailblazers","Velocity",1,"3.0",0,31,2,10.3333333333333,6,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"Poonam Yadav",2022-05-26,"Velocity","Trailblazers",2,"4.0",0,33,2,8.25,9,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"RS Gayakwad",2022-05-26,"Velocity","Trailblazers",2,"4.0",0,44,2,11,7,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"LM Kasperek",2020-11-05,"Trailblazers","Velocity",2,"2.0",0,5,1,2.5,8,"Women's T20 Challenge","2020/21",1235587,"Sharjah Cricket Stadium","Sharjah","Velocity","Trailblazers","Velocity","bat","S Ecclestone","Trailblazers","9",NA
"DB Sharma",2020-11-05,"Velocity","Trailblazers",1,"4.0",1,8,1,2,16,"Women's T20 Challenge","2020/21",1235587,"Sharjah Cricket Stadium","Sharjah","Velocity","Trailblazers","Velocity","bat","S Ecclestone","Trailblazers","9",NA
"SIR Dunkley",2022-05-26,"Velocity","Trailblazers",2,"2.0",0,8,1,4,5,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"AA Patil",2019-05-06,"Trailblazers","Supernovas",1,"4.0",1,12,1,3,13,"Women's T20 Challenge","2019",1181893,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"2"
"Poonam Yadav",2019-05-09,"Velocity","Supernovas",2,"4.0",0,13,1,3.25,12,"Women's T20 Challenge","2019",1181895,"Sawai Mansingh Stadium, Jaipur","Jaipur","Supernovas","Velocity","Velocity","field","JI Rodrigues","Supernovas",NA,"12"
"SD Pradhan",2019-05-08,"Trailblazers","Velocity",1,"3.0",1,14,1,4.66666666666667,8,"Women's T20 Challenge","2019",1181894,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Velocity","Velocity","field","DN Wyatt","Velocity","3",NA
"Meghna Singh",2022-05-23,"Trailblazers","Supernovas",2,"3.0",0,16,1,5.33333333333333,7,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
"J Goswami",2020-11-07,"Supernovas","Trailblazers",1,"4.0",0,17,1,4.25,17,"Women's T20 Challenge","2020/21",1235588,"Sharjah Cricket Stadium","Sharjah","Supernovas","Trailblazers","Supernovas","bat","AC Jayangani","Supernovas",NA,"2"
"S Pandey",2019-05-09,"Supernovas","Velocity",1,"4.0",0,17,1,4.25,15,"Women's T20 Challenge","2019",1181895,"Sawai Mansingh Stadium, Jaipur","Jaipur","Supernovas","Velocity","Velocity","field","JI Rodrigues","Supernovas",NA,"12"
"AA Patil",2020-11-07,"Trailblazers","Supernovas",2,"4.0",0,18,1,4.5,15,"Women's T20 Challenge","2020/21",1235588,"Sharjah Cricket Stadium","Sharjah","Supernovas","Trailblazers","Supernovas","bat","AC Jayangani","Supernovas",NA,"2"
"Poonam Yadav",2019-05-11,"Velocity","Supernovas",1,"3.0",0,18,1,6,10,"Women's T20 Challenge","2019",1181896,"Sawai Mansingh Stadium, Jaipur","Jaipur","Velocity","Supernovas","Supernovas","field","H Kaur","Supernovas","4",NA
"S Pandey",2019-05-08,"Trailblazers","Velocity",1,"4.0",0,18,1,4.5,15,"Women's T20 Challenge","2019",1181894,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Velocity","Velocity","field","DN Wyatt","Velocity","3",NA
"AA Patil",2019-05-11,"Velocity","Supernovas",1,"3.0",0,19,1,6.33333333333333,9,"Women's T20 Challenge","2019",1181896,"Sawai Mansingh Stadium, Jaipur","Jaipur","Velocity","Supernovas","Supernovas","field","H Kaur","Supernovas","4",NA
"H Deol",2019-05-08,"Velocity","Trailblazers",2,"3.0",0,19,1,6.33333333333333,8,"Women's T20 Challenge","2019",1181894,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Velocity","Velocity","field","DN Wyatt","Velocity","3",NA
"SFM Devine",2019-05-11,"Velocity","Supernovas",1,"4.0",0,19,1,4.75,14,"Women's T20 Challenge","2019",1181896,"Sawai Mansingh Stadium, Jaipur","Jaipur","Velocity","Supernovas","Supernovas","field","H Kaur","Supernovas","4",NA
"HK Matthews",2022-05-26,"Velocity","Trailblazers",2,"2.0",0,20,1,10,4,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"DP Vaidya",2019-05-11,"Supernovas","Velocity",2,"4.0",0,21,1,5.25,14,"Women's T20 Challenge","2019",1181896,"Sawai Mansingh Stadium, Jaipur","Jaipur","Velocity","Supernovas","Supernovas","field","H Kaur","Supernovas","4",NA
"RS Gayakwad",2018-05-22,"Trailblazers","Supernovas",1,"4.0",0,21,1,5.25,8,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"HASD Siriwardene",2020-11-09,"Trailblazers","Supernovas",1,"4.0",0,22,1,5.5,8,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
"J Goswami",2018-05-22,"Supernovas","Trailblazers",2,"4.0",0,22,1,5.5,13,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"RP Yadav",2022-05-24,"Supernovas","Velocity",1,"3.0",0,22,1,7.33333333333333,5,"Women's T20 Challenge","2022",1314904,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","H Kaur","Velocity","7",NA
"Salma Khatun",2022-05-26,"Velocity","Trailblazers",2,"2.0",0,22,1,11,3,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"Poonam Yadav",2020-11-09,"Trailblazers","Supernovas",1,"4.0",0,23,1,5.75,11,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
"E Bisht",2018-05-22,"Supernovas","Trailblazers",2,"4.0",0,24,1,6,11,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"RP Yadav",2020-11-04,"Velocity","Supernovas",2,"4.0",0,25,1,6.25,7,"Women's T20 Challenge","2020/21",1235586,"Sharjah Cricket Stadium","Sharjah","Supernovas","Velocity","Velocity","field","S Luus","Velocity","5",NA
"Salma Khatun",2020-11-07,"Supernovas","Trailblazers",1,"4.0",0,25,1,6.25,9,"Women's T20 Challenge","2020/21",1235588,"Sharjah Cricket Stadium","Sharjah","Supernovas","Trailblazers","Supernovas","bat","AC Jayangani","Supernovas",NA,"2"
"S Ecclestone",2020-11-09,"Supernovas","Trailblazers",2,"4.0",0,26,1,6.5,11,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
"A Khaka",2022-05-26,"Trailblazers","Velocity",1,"3.0",0,27,1,9,5,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"A Khaka",2022-05-28,"Supernovas","Velocity",1,"4.0",0,27,1,6.75,6,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"KL Cross",2022-05-26,"Trailblazers","Velocity",1,"3.0",0,27,1,9,7,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"NR Sciver",2019-05-11,"Velocity","Supernovas",1,"4.0",1,27,1,6.75,11,"Women's T20 Challenge","2019",1181896,"Sawai Mansingh Stadium, Jaipur","Jaipur","Velocity","Supernovas","Supernovas","field","H Kaur","Supernovas","4",NA
"P Vastrakar",2022-05-24,"Velocity","Supernovas",2,"3.0",0,27,1,9,7,"Women's T20 Challenge","2022",1314904,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","H Kaur","Velocity","7",NA
"Poonam Yadav",2020-11-04,"Velocity","Supernovas",2,"4.0",0,27,1,6.75,10,"Women's T20 Challenge","2020/21",1235586,"Sharjah Cricket Stadium","Sharjah","Supernovas","Velocity","Velocity","field","S Luus","Velocity","5",NA
"SFM Devine",2019-05-06,"Trailblazers","Supernovas",1,"4.0",0,27,1,6.75,10,"Women's T20 Challenge","2019",1181893,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"2"
"AA Patil",2019-05-09,"Velocity","Supernovas",2,"4.0",0,28,1,7,8,"Women's T20 Challenge","2019",1181895,"Sawai Mansingh Stadium, Jaipur","Jaipur","Supernovas","Velocity","Velocity","field","JI Rodrigues","Supernovas",NA,"12"
"RS Gayakwad",2019-05-08,"Velocity","Trailblazers",2,"3.0",0,28,1,9.33333333333333,7,"Women's T20 Challenge","2019",1181894,"Sawai Mansingh Stadium, Jaipur","Jaipur","Trailblazers","Velocity","Velocity","field","DN Wyatt","Velocity","3",NA
"Poonam Yadav",2022-05-23,"Supernovas","Trailblazers",1,"4.0",0,29,1,7.25,7,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
